order_long,order_short,week,position,song,artist
0,0,7/7/97,1,Mmm Bop,Hanson
1,1,7/7/97,2,Bitch,Meredith Brooks
2,2,7/7/97,3,Say You'll Be There,Spice Girls
3,3,7/7/97,4,Return Of The Mack,Mark Morrison
4,4,7/7/97,5,Sunny Came Home,Shawn Colvin
5,5,7/7/97,6,Do You Know,Robyn
6,6,7/7/97,7,The Freshmen,Verve Pipe
7,7,7/7/97,8,Hard To Say I'm Sorry,Az Yet
8,8,7/7/97,9,I Want You,Savage Garden
9,9,7/7/97,10,Quit Playing Games (with My Heart),Backstreet Boys
10,10,7/7/97,11,Semi-charmed Life,Third Eye Blind
11,11,7/7/97,12,For You I Will,Monica
12,12,7/7/97,13,Your Woman,White Town
13,13,7/7/97,14,You Were Meant For Me,Jewel
14,14,7/7/97,15,One Headlight,Wallflowers
15,15,7/7/97,16,All For You,Sister Hazel
16,16,7/7/97,17,Where Have All The Cowboys Gone?,Paula Cole
17,17,7/7/97,18,How Bizarre,Omc
18,18,7/7/97,19,Butterfly Kisses,Raybon Brothers
19,19,7/7/97,20,Barely Breathing,Duncan Sheik
20,20,7/7/97,21,I'll Be Missing You,Diddy
21,21,7/7/97,22,Whatever,En Vogue
22,22,7/7/97,23,Don't Leave Me,Blackstreet
23,23,7/7/97,24,A Change Would Do You Good,Sheryl Crow
24,24,7/7/97,25,I Wanna Be There,Blessid Union Of Souls
25,25,7/7/97,26,Look Into My Eyes,Bone Thugs-N-Harmony
26,26,7/7/97,27,I Belong To You,Rome
27,27,7/7/97,28,G.h.e.t.t.o.u.t.,Changing Faces
28,28,7/7/97,29,It's Your Love,Tim McGraw
29,29,7/7/97,30,Da' Dip,Freak Nasty
30,30,7/7/97,31,Gimme Some Love,Gina G
31,31,7/7/97,32,Smile,Scarface
32,32,7/7/97,33,Gotham City,R. Kelly
33,33,7/7/97,34,Cupid,112
34,34,7/7/97,35,Can U Feel It,3rd Party
35,35,7/7/97,36,Go The Distance,Michael Bolton
36,36,7/7/97,37,Daylight Fading,Counting Crow
37,37,7/7/97,38,Can't Nobody Hold Me Down,Diddy
38,38,7/7/97,39,"How Come, How Long",Babyface
39,39,7/7/97,40,How Do I Live,LeAnn Rimes
61,40,7/14/97,22,Butterfly Kisses,Bob Carlisle
72,41,7/14/97,33,C U When U Get There,Coolio
79,42,7/14/97,40,Men In Black,Will Smith
114,43,7/21/97,35,To The Moon And Back,Savage Garden
115,44,7/21/97,36,How Do I Live,Trisha Yearwood
118,45,7/21/97,40,Crash Into Me,Dave Matthews Band
139,46,7/28/97,21,"Mo Money,mo Problems",Notorious B.I.G.
141,47,7/28/97,23,2 Become 1,Spice Girls
182,48,8/4/97,26,Where's The Love,Hanson
183,49,8/4/97,27,Not Tonight,Lil' Kim
185,50,8/4/97,29,Never Make A Promise,Dru Hill
193,51,8/4/97,37,The Difference,Wallflowers
194,52,8/4/97,38,Someone,SWV
195,53,8/4/97,39,Invisible Man,98 Degrees
196,54,8/4/97,40,Push,Matchbox 20
226,55,8/11/97,31,Coco Jamboo,Mr.President
229,56,8/11/97,34,Foolish Games,Jewel
268,57,8/18/97,34,Up Jumps Da Boogie,Magoo
272,58,8/18/97,38,If You Could Only See,Tonic
274,59,8/18/97,40,You Make Me Wanna...,Usher
305,60,8/25/97,32,Honey,Mariah Carey
313,61,8/25/97,40,When I Die,No Mercy
332,62,9/1/97,19,Building A Mystery,Sarah McLachlan
334,63,9/1/97,22,Barbie Girl,Aqua
347,64,9/1/97,35,I Don't Want To Wait,Paula Cole
366,65,9/8/97,14,Where's The Love?,Hanson
384,66,9/8/97,33,Fly,Sugar Ray
387,67,9/8/97,36,All Cried Out,Allure
391,68,9/8/97,40,I Miss My Homies,Master P
426,69,9/15/97,35,You Should Be Mine (Don't Waste Your Time),Brian McKnight
427,70,9/15/97,36,What About Us,Total
428,71,9/15/97,37,The Impression That I Get,Mighty Mighty Bosstones
452,72,9/22/97,22,4 Seasons Of Loneliness,Boyz II Men
461,73,9/22/97,31,On My Own,Peach Union
468,74,9/22/97,38,My Love Is The Shhh!,Somethin' For The People
505,75,9/29/97,35,Criminal,Fiona Apple
510,76,9/29/97,40,Butta Love,Next
534,77,10/6/97,24,Candle In The Wind 1997,Elton John
540,78,10/6/97,30,"Too Gone,too Long",En Vogue
541,79,10/6/97,31,Show Me Love,Robyn
544,80,10/6/97,34,The One I Gave My Heart To,Aaliyah
549,81,10/6/97,39,Tubthumping,Chumbawamba
550,82,10/6/97,40,Legend Of A Cowgirl,Imani Coppola
590,83,10/13/97,40,Walkin' On The Sun,Smash Mouth
628,84,10/20/97,38,I Care 'bout You,Milestone
629,85,10/20/97,39,Everything,Mary J. Blige
630,86,10/20/97,40,Takes A Little Time,Amy Grant
663,87,10/27/97,33,Butterfly,Mariah Carey
703,88,11/3/97,33,My Body,LSG
704,89,11/3/97,34,Feel So Good,Mase
707,90,11/3/97,37,Sock It 2 Me,Missy 'Misdemeanor' Elliott
708,91,11/3/97,38,I Will Come To You,Hanson
742,92,11/10/97,32,Breaking All The Rules,She Moves
777,93,11/17/97,27,I Do,Lisa Loeb
783,94,11/17/97,33,As Long As You Love Me,Backstreet Boys
789,95,11/17/97,39,Spice Up Your Life,Spice Girls
790,96,11/17/97,40,Something About The Way You Look Tonight,Elton John
827,97,11/24/97,37,"Truly,madly,deeply",Savage Garden
859,98,12/1/97,29,Together Again,Janet Jackson
869,99,12/1/97,39,Love You Down,Inoj
870,100,12/1/97,40,How's It Going To Be,Third Eye Blind
901,101,12/8/97,31,It's All About The Benjamins,Diddy
910,102,12/8/97,40,A Song For Mama,Boyz II Men
941,103,12/15/97,31,3:00 AM,Matchbox 20
945,104,12/15/97,35,What Would Happen,Meredith Brooks
986,105,12/22/97,36,We're Not Making Love No More,Dru Hill
1024,106,12/29/97,34,I Don't Ever Want To See You Again,Uncle Sam
1061,107,1/5/98,31,Heaven,Nu Flavor
1069,108,1/5/98,39,Lollipop (Candyman),Aqua
1070,109,1/5/98,40,Going Back To Cali,The Notorious B.I.G.
1103,110,1/12/98,33,Time Of Your Life,Green Day
1105,111,1/12/98,35,Back To You,Bryan Adams
1107,112,1/12/98,37,My Heart Will Go On,Celine Dion
1108,113,1/12/98,38,Dangerous,Busta Rhymes
1141,114,1/19/98,32,Kiss The Rain,Billie Myers
1148,115,1/19/98,39,Sweet Surrender,Sarah McLachlan
1181,116,1/26/98,33,"No, No, No",Destiny's Child
1185,117,1/26/98,37,Father,Ll Cool J
1186,118,1/26/98,38,Been Around The World,Diddy
1188,119,1/26/98,40,The Mummers' Dance,Loreena Mckennitt
1224,120,2/2/98,37,Gone Till November,Wyclef Jean
1227,121,2/2/98,40,Pink,Aerosmith
1252,122,2/9/98,26,Too Much,Spice Girls
1253,123,2/9/98,27,Are You Jimmy Ray?,Jimmy Ray
1260,124,2/9/98,34,I Know Where It's At,All Saints
1263,125,2/9/98,37,Gettin' Jiggy Wit It,Will Smith
1265,126,2/9/98,39,What You Want,Mase
1289,127,2/16/98,25,All My Life,K-Ci
1301,128,2/16/98,38,I Want You Back,NSync
1333,129,2/23/98,31,Brick,Ben Folds Five
1338,130,2/23/98,37,Deja Vu (uptown Baby),Lord Tariq
1368,131,3/2/98,28,Frozen,Madonna
1369,132,3/2/98,29,Torn,Natalie Imbruglia
1377,133,3/2/98,38,Bitter Sweet Symphony,Verve
1379,134,3/2/98,40,Body Bumpin' Yippie-yi-yo,Public Announcement
1417,135,3/9/98,40,Sex And Candy,Marcy Playground
1446,136,3/16/98,30,My Father's Eyes,Eric Clapton
1455,137,3/16/98,40,Too Close,Next
1483,138,3/23/98,29,Let's Ride,"Montell Jordan, Master P"
1488,139,3/23/98,34,Turn Back Time,Aqua
1493,140,3/23/98,39,Do For Love,2 Pac
1520,141,3/30/98,28,Do You Really Want Me,Robyn
1529,142,3/30/98,37,Romeo And Juliet,Sylk-e. Fyne
1530,143,3/30/98,38,You're Still The One,Shania Twain
1568,144,4/6/98,37,Make Em' Say Uhh!,"Master P, Friend"
1569,145,4/6/98,38,Anytime,Brian Mckight
1570,146,4/6/98,39,Amnesia,Chumbawamba
1571,147,4/6/98,40,It's Up To You,Tuesdays
1592,148,4/13/98,22,Everybody (backstreet's Back),Backstreet Boys
1610,149,4/13/98,40,Victory,Diddy
1643,150,4/20/98,34,It's All About Me,Mya
1682,151,4/27/98,34,"Money, Power &amp; Respect",Lox
1685,152,4/27/98,38,A Rose Is Still A Rose,Aretha Franklin
1687,153,4/27/98,40,The Arms Of The One Who Loves You,Xscape
1702,154,5/4/98,15,My All,Mariah Carey
1712,155,5/4/98,26,Turn It Up (remix),Busta Rhymes
1718,156,5/4/98,33,Searchin' My Soul,Vonda Shepard
1721,157,5/4/98,36,The Way,Fastball
1725,158,5/4/98,40,Uninvited,Alanis Morissette
1750,159,5/11/98,26,Iris,Goo Goo Dolls
1762,160,5/11/98,39,I Got The Hook Up,Master P
1763,161,5/11/98,40,I'll Be,Edwin McCain
1781,162,5/18/98,18,I Get Lonely,Janet Jackson
1826,163,5/25/98,25,Adia,Sarah McLachlan
1836,164,5/25/98,35,Heroes,Wallflowers
1837,165,5/25/98,36,Looking Through Your Eyes,LeAnn Rimes
1839,166,5/25/98,38,Raise The Roof,Luke
1841,167,5/25/98,40,Kind &amp; Generous,Natalie Merchant
1856,168,6/1/98,15,The Boy Is Mine,Brandy
1872,169,6/1/98,31,Ray Of Light,Madonna
1877,170,6/1/98,36,Real World,Matchbox 20
1879,171,6/1/98,38,They Don't Know,Jon B.
1951,172,6/15/98,30,My Way,Usher
1957,173,6/15/98,36,Closing Time,Semisonic
1960,174,6/15/98,39,Say It,Voices Of Theory
1984,175,6/22/98,23,I Don't Want To Miss A Thing,Aerosmith
1988,176,6/22/98,27,To Love You More,Celine Dion
1991,177,6/22/98,30,Come With Me,Diddy
1993,178,6/22/98,32,Stop,Spice Girls
2000,179,6/22/98,39,Make It Hot,Nicole
2022,180,6/29/98,21,Just The Two Of Us,Will Smith
2037,181,6/29/98,37,When The Lights Go Out,Five
2078,182,7/6/98,38,Shorty,Imajin
2080,183,7/6/98,40,This Kiss,Faith Hill
2109,184,7/13/98,29,Can't Get Enough Of You Baby,Smash Mouth
2113,185,7/13/98,33,Never Ever,All Saints
2118,186,7/13/98,39,Friend Of Mine,Kelly Price
2119,187,7/13/98,40,Crush,Jennifer Paige
2145,188,7/20/98,27,Cruel Summer,Ace Of Base
2155,189,7/20/98,37,Nobody Does It Better,Nate Dogg
2158,190,7/20/98,40,Cleopatra's Theme,Cleopatra
2194,191,7/27/98,37,Lookin' At Me,Mase
2224,192,8/3/98,28,I'll Never Break Your Heart,Backstreet Boys
2236,193,8/3/98,40,Daydreamin',Tatyana Ali
2268,194,8/10/98,33,The First Night,Monica
2273,195,8/10/98,38,Gotta Be,Jagged Edge
2275,196,8/10/98,40,I Still Love You,Next
2296,197,8/17/98,21,Tearin' Up My Heart,NSync
2305,198,8/17/98,31,Wishing I Was There,Natalie Imbruglia
2309,199,8/17/98,35,Time After Time,Inoj
2312,200,8/17/98,38,One Week,Barenaked Ladies
2383,201,8/31/98,31,Go Deep,Janet Jackson
2388,202,8/31/98,36,Thinkin' Bout It,Gerald Levert
2426,203,9/7/98,35,I Will Wait,Hootie
2427,204,9/7/98,36,Are You That Somebody?,Aaliyah
2428,205,9/7/98,37,I Can Do That,Montell Jordan
2431,206,9/7/98,40,Still A Thang,Snoop Dogg
2469,207,9/14/98,39,Splackavellie,Pressha
2503,208,9/21/98,33,Jump Jive An' Wail,Brian Setzer Orchestra
2505,209,9/21/98,35,My Favorite Mistake,Sheryl Crow
2508,210,9/21/98,38,Lately,Devine
2545,211,9/28/98,35,Save Tonight,Eagle-Eye Cherry
2546,212,9/28/98,36,Jumper,Third Eye Blind
2547,213,9/28/98,37,Westside,TQ
2548,214,9/28/98,38,Hooch,Everything
2549,215,9/28/98,39,Because Of You,98 Degrees
2578,216,10/5/98,28,How Deep Is Your Love,Dru Hill
2613,217,10/12/98,23,Thank U,Alanis Morissette
2616,218,10/12/98,26,The Power Of Good-bye,Madonna
2621,219,10/12/98,31,Touch It,Monifah
2629,220,10/12/98,39,Nobody's Supposed To Be Here,Deborah Cox
2661,221,10/19/98,31,My Little Secret,Xscape
2666,222,10/19/98,36,Come And Get With Me,Keith Sweat
2691,223,10/26/98,21,Lullaby,Shawn Mullins
2707,224,10/26/98,37,Hands,Jewel
2710,225,10/26/98,40,All The Places,Aaron Hall
2740,226,11/2/98,30,Inside Out,Eve 6
2745,227,11/2/98,35,From This Moment,Shania Twain
2746,228,11/2/98,36,Love Me,112
2750,229,11/2/98,40,Slide,Goo Goo Dolls
2768,230,11/9/98,18,Doo Wop (That Thing),Lauryn Hill
2778,231,11/9/98,28,Lately,Divine
2787,232,11/9/98,37,Trippin',Total
2789,233,11/9/98,39,...Baby One More Time,Britney Spears
2790,234,11/9/98,40,Love Like This,Faith Evans
2858,235,11/23/98,28,Have You Ever?,Brandy
2868,236,11/23/98,38,Pushin' Weight,Ice Cube
2869,237,11/23/98,39,Ghetto Cowboy,Mo Things Family
2890,238,11/30/98,20,I'm Your Angel,R. Kelly
2939,239,12/7/98,29,Miami,Will Smith
2946,240,12/7/98,36,(God Must Have Spent) A Little More Time...,NSync
2950,241,12/7/98,40,Hold Me,"Brian McKnight, Tone"
2984,242,12/14/98,34,You Get What You Give,New Radicals
3017,243,12/21/98,27,Goodbye,Spice Girls
3020,244,12/21/98,30,Angel,Sarah McLachlan
3064,245,12/28/98,36,Can I Get A ...,"Jay-Z, Ja Rule"
3068,246,12/28/98,40,I Don't Want To Miss A Thing,Mark Chesnutt
3142,247,1/11/99,36,Big Big World,Emilia
3143,248,1/11/99,37,I Will Get There,Boyz II Men
3144,249,1/11/99,38,Believe,Cher
3145,250,1/11/99,39,Wherever You Go,Voices Of Theory
3171,251,1/18/99,27,Pretty Fly (For A White Guy),Offspring
3197,252,1/25/99,13,Angel Of Mine,Monica
3208,253,1/25/99,26,All I Have To Give,Backstreet Boys
3210,254,1/25/99,28,It's All Been Done,Barenaked Ladies
3211,255,1/25/99,29,Taking Everything,Gerald Levert
3218,256,1/25/99,36,Back 2 Good,Matchbox 20
3220,257,1/25/99,38,Every Morning,Sugar Ray
3247,258,2/1/99,26,How Do I Deal,Jennifer Love Hewitt
3257,259,2/1/99,37,Heartbreak Hotel,"Whitney Houston, Faith Evans"
3258,260,2/1/99,38,Woof,Snoop Dogg
3290,261,2/8/99,31,Faded Pictures,Case
3298,262,2/8/99,40,Father Of Mine,Everclear
3324,263,2/15/99,27,Fly Away,Lenny Kravitz
3328,264,2/15/99,31,You,Jesse Powell
3329,265,2/15/99,33,Unsent,Alanis Morissette
3356,266,2/22/99,20,Stay The Same,Joey McIntyre
3358,267,2/22/99,22,I Still Believe,Mariah Carey
3371,268,2/22/99,37,Kiss Me,Sixpence None The Richer
3372,269,2/22/99,38,C'est La Vie,B*Witched
3399,270,3/1/99,25,No Scrubs,TLC
3408,271,3/1/99,35,It Ain't My Fault 2,Silkk The Shocker
3410,272,3/1/99,38,At The Stars,Better Than Ezra
3433,273,3/8/99,21,The Animal Song,Savage Garden
3440,274,3/8/99,28,What It's Like,Everlast
3446,275,3/8/99,34,If You (lovin' Me),Silk
3447,276,3/8/99,35,I'm Not Ready,Keith Sweat
3450,277,3/8/99,39,Sweet Lady,[]
3451,278,3/8/99,40,Written In The Stars,Elton John
3479,279,3/15/99,28,Hard Knock Life (Ghetto Anthem),Jay-Z
3485,280,3/15/99,34,All Night Long,Faith Evans
3489,281,3/15/99,38,Ex-Factor,Lauryn Hill
3517,282,3/22/99,26,What's It Gonna Be?!,Busta Rhymes
3558,283,3/29/99,27,The Hardest Thing,98 Degrees
3560,284,3/29/99,29,My Name Is,Eminem
3566,285,3/29/99,35,When I Close My Eyes,Shanice
3567,286,3/29/99,36,Nothing Really Matters,Madonna
3604,287,4/5/99,33,One More Try,Divine
3607,288,4/5/99,36,Give It To You,Jordan Knight
3608,289,4/5/99,37,My First Night With You,Mya
3609,290,4/5/99,38,Anything But Down,Sheryl Crow
3640,291,4/12/99,29,We Like To Party,Vengaboys
3645,292,4/12/99,34,Special,Garbage
3650,293,4/12/99,39,Please Remember Me,Tim McGraw
3651,294,4/12/99,40,That Don't Impress Me Much,Shania Twain
3674,295,4/19/99,23,Livin' La Vida Loca,Ricky Martin
3685,296,4/19/99,34,I Drive Myself Crazy,NSync
3686,297,4/19/99,35,Who Dat,JT Money
3688,298,4/19/99,37,Down So Long,Jewel
3689,299,4/19/99,38,Everybody's Free,Baz Luhrmann
3719,300,4/26/99,28,I Want It That Way,Backstreet Boys
3730,301,4/26/99,39,These Are The Times,Dru Hill
3765,302,5/3/99,34,808,Blaque
3790,303,5/10/99,19,Fortunate,Maxwell
3806,304,5/10/99,35,Almost Doesn't Count,Brandy
3810,305,5/10/99,39,My Favorite Girl,Dave Hollister
3811,306,5/10/99,40,Hey Leonardo (she Likes Me...),Blessid Union Of Souls
3832,307,5/17/99,21,Where My Girls At?,702
3841,308,5/17/99,30,Chante's Got A Man,Chante Moore
3847,309,5/17/99,36,Millennium,Robbie Williams
3849,310,5/17/99,38,Why Don't You Get A Job,Offspring
3873,311,5/24/99,22,If You Had My Love,Jennifer Lopez
3877,312,5/24/99,26,Wild Wild West,Will Smith
3882,313,5/24/99,31,Sometimes,Britney Spears
3891,314,5/24/99,40,What'd You Come Here For?,Trina
3930,315,5/31/99,39,Holla Holla,Ja Rule
3951,316,6/7/99,20,All Star,Smash Mouth
3962,317,6/7/99,31,Happily Ever After,Case
3971,318,6/7/99,40,Praise You,Fatboy Slim
3998,319,6/14/99,27,I Will Remember You,Sarah McLachlan
4001,320,6/14/99,30,Rollercoaster,B*Witched
4007,321,6/14/99,36,Out Of My Head,Fastball
4008,322,6/14/99,37,Better Days (and The Bottom..),Citizen King
4010,323,6/14/99,39,Did You Ever Think,R. Kelly
4035,324,6/21/99,24,Beautiful Stranger,Madonna
4036,325,6/21/99,25,Last Kiss,Pearl Jam
4041,326,6/21/99,30,No Pigeons,Sporty Thievz
4045,327,6/21/99,34,It's Not Right But It's Okay,Whitney Houston
4049,328,6/21/99,38,Tell Me It's Real,K-Ci
4075,329,6/28/99,24,"Bills, Bills, Bills",Destiny's Child
4088,330,6/28/99,37,Genie In A Bottle,Christina Aguilera
4089,331,6/28/99,38,You'll Be In My Heart,Phil Collins
4126,332,7/5/99,35,She's So High,Tal Bachman
4127,333,7/5/99,36,I Could Not Ask For More,Edwin McCain
4130,334,7/5/99,39,Spend My Life With You,Eric Benet
4164,335,7/12/99,33,Someday,Sugar Ray
4167,336,7/12/99,36,Summer Girls,LFO
4169,337,7/12/99,38,Jamboree,Naughty By Nature
4210,338,7/19/99,39,Smile,Vitamin C
4236,339,7/26/99,25,Bailamos,Enrique Iglesias
4249,340,7/26/99,38,Unpretty,TLC
4280,341,8/2/99,29,The Day The World Went Away,Nine Inch Nails
4284,342,8/2/99,33,Black Balloon,Goo Goo Dolls
4288,343,8/2/99,37,I Will Go With You (Con Te Partiro),Donna Summer
4290,344,8/2/99,39,La Copa De La Vida (The Cup Of Life),Ricky Martin
4322,345,8/9/99,31,It's All About You (not About Me),Tracie Spencer
4330,346,8/9/99,39,I'll Be Your Everything,Youngstown
4354,347,8/16/99,23,I Do (Cherish You),98 Degrees
4356,348,8/16/99,25,Smooth,Santana
4369,349,8/16/99,38,Everything Is Everything,Lauryn Hill
4397,350,8/23/99,26,She's All I Ever Had,Ricky Martin
4399,351,8/23/99,28,Scar Tissue,Red Hot Chili Peppers
4410,352,8/23/99,39,Get Gone,Ideal
4437,353,8/30/99,26,I Love You Came Too Late,Joey McIntyre
4442,354,8/30/99,31,Steal My Sunshine,Len
4446,355,8/30/99,35,Southern Gul,Erykah Badu
4475,356,9/6/99,24,Mambo No.5 (a Little Bit Of...),Lou Bega
4478,357,9/6/99,27,Lost In You,Garth Brooks As Chris Gaines
4483,358,9/6/99,32,Never Gonna Let You Go,Faith Evans
4484,359,9/6/99,33,Jigga My N****,Jay-Z
4489,360,9/6/99,38,Candy,Mandy Moore
4490,361,9/6/99,39,Bliss,Tori Amos
4527,362,9/13/99,36,There She Goes,Sixpence None The Richer
4528,363,9/13/99,37,I Want It All,Warren G
4529,364,9/13/99,38,Heartbreaker,Mariah Carey
4530,365,9/13/99,39,My Love Is Your Love,Whitney Houston
4567,366,9/20/99,36,(You Drive Me) Crazy,Britney Spears
4571,367,9/20/99,40,Music Of My Heart,'N Sync
4589,368,9/27/99,18,I Need To Know,Marc Anthony
4602,369,9/27/99,31,We Can't Be Friends,Deborah Cox With R.l.
4604,370,9/27/99,33,Larger Than Life,Backstreet Boys
4638,371,10/4/99,27,Man! I Feel Like A Woman!,Shania Twain
4642,372,10/4/99,31,If I Could Turn Back The Hands Of Time,R. Kelly
4650,373,10/4/99,39,What's My Age Again?,Blink 182
4685,374,10/11/99,34,Stay The Night,IMX
4687,375,10/11/99,36,Back At One,Brian McKnight
4689,376,10/11/99,38,U Know What's Up,Donell Jones
4715,377,10/18/99,24,Satisfy You,Diddy
4721,378,10/18/99,30,Waiting For Tonight,Jennifer Lopez
4726,379,10/18/99,35,I Wanna Love You Forever,Jessica Simpson
4729,380,10/18/99,38,Meet Virginia,Train
4769,381,10/25/99,38,15 Minutes,Marc Nelson
4770,382,10/25/99,39,American Woman,Lenny Kravitz
4771,383,10/25/99,40,"4,5,6",Sole
4803,384,11/1/99,32,I Knew I Loved You,Savage Garden
4810,385,11/1/99,40,If You Love Me,Mint Condition
4870,386,11/15/99,21,Will 2k,Will Smith
4879,387,11/15/99,30,Then The Morning Comes,Smash Mouth
4881,388,11/15/99,32,Girl On Tv,LFO
4883,389,11/15/99,34,Don't Say You Love Me,M2M
4919,390,11/22/99,31,Hot Boyz,Missy 'Misdemeanor' Elliott
4921,391,11/22/99,33,Bring It All To Me,Blaque
4927,392,11/22/99,39,Angels,Robbie Williams
4957,393,11/29/99,29,Shake Your Bon-Bon,Ricky Martin
4965,394,11/29/99,37,Hanginaround,Counting Crows
4966,395,11/29/99,38,24/7,Kevon Edmonds
4991,396,12/6/99,23,What A Girl Wants,Christina Aguilera
5006,397,12/6/99,38,He Can't Love You,Jagged Edge
5030,398,12/13/99,22,Learn To Fly,Foo Fighters
5034,399,12/13/99,26,That's The Way It Is,Celine Dion
5043,400,12/13/99,35,Blue (da Ba Dee),Eiffel 65
5045,401,12/13/99,37,You Can Do It,Ice Cube
5048,402,12/13/99,40,The Christmas Song,Christina Aguilera
5080,403,12/20/99,32,Dancin',Guy
5083,404,12/20/99,35,The Rhythm Divine,Enrique Iglesias
5086,405,12/20/99,38,Caught Out There,Kelis
5088,406,12/20/99,40,The Rockafeller Skank,Fatboy Slim
5127,407,12/27/99,39,Deck The Halls,SheDaisy
5150,408,1/3/00,22,Auld Lang Syne,Kenny G
5165,409,1/3/00,37,This Gift,98 Degrees
5196,410,1/10/00,28,Take A Picture,Filter
5206,411,1/10/00,38,One Night Stand,J-Shin
5207,412,1/10/00,39,G'd Up,Snoop Dogg Presents Tha Eastsidaz
5208,413,1/10/00,40,Big Deal,LeAnn Rimes
5233,414,1/17/00,25,Show Me The Meaning Of Being Lonely,Backstreet Boys
5235,415,1/17/00,27,All The Small Things,Blink 182
5247,416,1/17/00,39,It Feels So Good,Sonique
5275,417,1/24/00,27,Falls Apart,Sugar Ray
5278,418,1/24/00,30,I Like It,Sammie
5313,419,1/31/00,25,Bye Bye Bye,NSync
5314,420,1/31/00,26,Get It On Tonite,Montell Jordan
5319,421,1/31/00,31,Amazed,Lonestar
5320,422,1/31/00,32,Never Let You Go,Third Eye Blind
5322,423,1/31/00,34,From The Bottom Of My Broken Heart,Britney Spears
5328,424,1/31/00,40,Say My Name,Destiny's Child
5350,425,2/7/00,23,Maria Maria,Santana
5360,426,2/7/00,33,Best Friend,Diddy
5363,427,2/7/00,36,"Tricky,tricky",Lou Bega
5365,428,2/7/00,38,Sexual (li Da Di),Amber
5400,429,2/14/00,34,Another Dumb Blonde,Hoku
5402,430,2/14/00,36,Everything You Want,Vertical Horizon
5404,431,2/14/00,38,Dear Lie,TLC
5428,432,2/21/00,23,Breathe,Faith Hill
5469,433,2/28/00,25,American Pie,Madonna
5473,434,2/28/00,29,There You Go,P!nk
5481,435,2/28/00,37,Still In My Heart,Tracie Spencer
5483,436,2/28/00,39,Only God Knows Why,Kid Rock
5516,437,3/6/00,33,I Learned From The Best,Whitney Houston
5520,438,3/6/00,37,U Don't Love Me,Kumbia Kings
5522,439,3/6/00,39,I Try,Macy Gray
5556,440,3/13/00,34,Goodbye Earl,Dixie Chicks
5560,441,3/13/00,38,Thong Song,Sisqo
5561,442,3/13/00,39,Feelin' So Good,Jennifer Lopez
5592,443,3/20/00,31,You Sang To Me,Marc Anthony
5596,444,3/20/00,35,The Bad Touch,Bloodhound Gang
5598,445,3/20/00,37,Higher,Creed
5599,446,3/20/00,38,Mirror Mirror,M2M
5636,447,3/27/00,36,I'm Outta Love,Anastacia
5677,448,4/1/00,38,Where You Are,Jessica Simpson
5678,449,4/1/00,39,If You Don't Wanna Love Me,Tamar
5679,450,4/1/00,40,Swear It Again,Westlife
5706,451,4/8/00,27,Be With You,Enrique Iglesias
5708,452,4/8/00,29,I Don't Wanna Kiss You Goodnight,LFO
5713,453,4/8/00,34,Wobble Wobble,504 Boyz
5717,454,4/8/00,38,Shackles (praise You),Mary Mary
5734,455,4/15/00,15,This Time Around,Hanson
5757,456,4/15/00,38,Whistle While You Twurk,Ying Yang Twins
5758,457,4/15/00,39,I Wanna Know,JOE
5779,458,4/22/00,20,He Wasn't Man Enough,Toni Braxton
5785,459,4/22/00,26,I Turn To You,Christina Aguilera
5787,460,4/22/00,28,Crash And Burn,Savage Garden
5798,461,4/22/00,39,Graduation (friends Forever),Vitamin C
5799,462,4/22/00,40,Separated,Avant
5824,463,4/29/00,25,Oops!...I Did It Again,Britney Spears
5838,464,4/29/00,39,Otherside,Red Hot Chili Peppers
5863,465,5/6/00,24,Back Here,BBmak
5872,466,5/6/00,34,Better Off Alone,Alice Deejay
5874,467,5/6/00,36,Nothing As It Seems,Pearl Jam
5878,468,5/6/00,40,Bent,Matchbox Twenty
5910,469,5/13/00,33,Try Again,Aaliyah
5915,470,5/13/00,38,(Hot S**t) Country Grammar,Nelly
5955,471,5/20/00,39,Monica,Before Dark
5983,472,5/27/00,28,The Real Slim Shady,Eminem
5984,473,5/27/00,29,It's Gonna Be Me,NSync
5991,474,5/27/00,36,The One,Backstreet Boys
6029,475,6/3/00,35,Absolutely (story Of A Girl),Nine Days
6033,476,6/3/00,39,Someday Out Of The Blue,Elton John
6034,477,6/3/00,40,Yes!,Chad Brock
6072,478,6/10/00,39,Purest Of Pain (a Puro Dolor),Son By Four
6111,479,6/17/00,40,I Wanna Be With You,Mandy Moore
6138,480,6/24/00,29,Desert Rose,Sting
6139,481,6/24/00,30,Simple Kind Of Love,No Doubt
6141,482,6/24/00,32,Take That,Torrey Carter
6147,483,6/24/00,38,One Voice,Billy Gilman
6177,484,7/1/00,30,"Jumpin',jumpin'",Destiny's Child
6178,485,7/1/00,31,No More,Ruff Endz
6184,486,7/1/00,37,I Think I'm In Love With You,Jessica Simpson
6185,487,7/1/00,38,Dancing Queen,A*Teens
6187,488,7/1/00,40,I Think God Can Explain,Splender
6221,489,7/8/00,36,Let's Get Married,Jagged Edge
6257,490,7/15/00,34,Doesn't Really Matter,Janet Jackson
6259,491,7/15/00,36,Faded,SoulDecision
6262,492,7/15/00,40,I Will Love Again,Lara Fabian
6281,493,7/22/00,19,Kryptonite,3 Doors Down
6295,494,7/22/00,34,Callin' Me,Lil' Zane
