week,position,song,artist
12/27/1999,24,Will 2k,Will Smith &amp; K-Ci
12/27/1999,25,Where My Girls At?,702
12/27/1999,26,The Rhythm Divine,Enrique Iglesias
12/27/1999,27,Larger Than Life,Backstreet Boys
12/27/1999,28,The Christmas Song,Christina Aguilera
12/27/1999,29,24/7,Kevon Edmonds
12/27/1999,30,He Can't Love You,Jagged Edge
12/27/1999,31,Don't Say You Love Me,M2M
12/27/1999,32,"4,5,6",Sole Featuring J.t. Money And Kandi
12/27/1999,33,Dancin',Guy
12/27/1999,34,Stay The Night,IMX
12/27/1999,35,Caught Out There,Kelis
12/27/1999,36,You Can Do It,Ice Cube
12/27/1999,37,15 Minutes,Marc Nelson
12/27/1999,38,The Rockafeller Skank,Fatboy Slim
12/27/1999,39,Deck The Halls,SheDaisy
12/27/1999,40,If You Love Me,Mint Condition
1/3/2000,1,I Knew I Loved You,Savage Garden
1/3/2000,2,Smooth,Santana &amp; Rob Thomas
1/3/2000,3,Back At One,Brian McKnight
1/3/2000,4,My Love Is Your Love,Whitney Houston
1/3/2000,5,I Need To Know,Marc Anthony
1/3/2000,6,What A Girl Wants,Christina Aguilera
1/3/2000,7,I Wanna Love You Forever,Jessica Simpson
1/3/2000,8,Waiting For Tonight,Jennifer Lopez
1/3/2000,9,Then The Morning Comes,Smash Mouth
1/3/2000,10,Bring It All To Me,Blaque
1/3/2000,11,Blue (da Ba Dee),Eiffel 65
1/3/2000,12,Steal My Sunshine,Len
1/3/2000,13,Meet Virginia,Train
1/3/2000,14,Mambo No.5 (a Little Bit Of...),Lou Bega
1/3/2000,15,That's The Way It Is,Celine Dion
1/3/2000,16,Unpretty,TLC
1/3/2000,17,Girl On Tv,LFO
1/3/2000,18,U Know What's Up,Donell Jones
1/3/2000,19,Shake Your Bon-Bon,Ricky Martin
1/3/2000,20,Hanginaround,Counting Crows
1/3/2000,21,Learn To Fly,Foo Fighters
1/3/2000,22,Auld Lang Syne,Kenny G
1/3/2000,23,Where My Girls At?,702
1/3/2000,24,The Rhythm Divine,Enrique Iglesias
1/3/2000,25,Hot Boyz,Missy 'Misdemeanor' Elliott
1/3/2000,26,(You Drive Me) Crazy,Britney Spears
1/3/2000,27,Will 2k,Will Smith &amp; K-Ci
1/3/2000,28,Don't Say You Love Me,M2M
1/3/2000,29,The Christmas Song,Christina Aguilera
1/3/2000,30,He Can't Love You,Jagged Edge
1/3/2000,31,24/7,Kevon Edmonds
1/3/2000,32,Larger Than Life,Backstreet Boys
1/3/2000,33,"4,5,6",Sole Featuring J.t. Money And Kandi
1/3/2000,34,Dancin',Guy
1/3/2000,35,Stay The Night,IMX
1/3/2000,36,You Can Do It,Ice Cube
1/3/2000,37,This Gift,98 Degrees
1/3/2000,38,Caught Out There,Kelis
1/3/2000,39,Deck The Halls,SheDaisy
1/3/2000,40,15 Minutes,Marc Nelson
1/10/2000,1,I Knew I Loved You,Savage Garden
1/10/2000,2,Smooth,Santana &amp; Rob Thomas
1/10/2000,3,What A Girl Wants,Christina Aguilera
1/10/2000,4,Back At One,Brian McKnight
1/10/2000,5,My Love Is Your Love,Whitney Houston
1/10/2000,6,I Need To Know,Marc Anthony
1/10/2000,7,I Wanna Love You Forever,Jessica Simpson
1/10/2000,8,Bring It All To Me,Blaque
1/10/2000,9,Then The Morning Comes,Smash Mouth
1/10/2000,10,Blue (da Ba Dee),Eiffel 65
1/10/2000,11,Waiting For Tonight,Jennifer Lopez
1/10/2000,12,Steal My Sunshine,Len
1/10/2000,13,Meet Virginia,Train
1/10/2000,14,That's The Way It Is,Celine Dion
1/10/2000,15,Girl On Tv,LFO
1/10/2000,16,Mambo No.5 (a Little Bit Of...),Lou Bega
1/10/2000,17,Learn To Fly,Foo Fighters
1/10/2000,18,U Know What's Up,Donell Jones
1/10/2000,19,Unpretty,TLC
1/10/2000,20,Shake Your Bon-Bon,Ricky Martin
1/10/2000,21,Hanginaround,Counting Crows
1/10/2000,22,The Rhythm Divine,Enrique Iglesias
1/10/2000,23,(You Drive Me) Crazy,Britney Spears
1/10/2000,24,Auld Lang Syne,Kenny G
1/10/2000,25,Hot Boyz,Missy 'Misdemeanor' Elliott
1/10/2000,26,Will 2k,Will Smith &amp; K-Ci
1/10/2000,27,Where My Girls At?,702
1/10/2000,28,Take A Picture,Filter
1/10/2000,29,He Can't Love You,Jagged Edge
1/10/2000,30,Don't Say You Love Me,M2M
1/10/2000,31,24/7,Kevon Edmonds
1/10/2000,32,You Can Do It,Ice Cube
1/10/2000,33,"4,5,6",Sole Featuring J.t. Money And Kandi
1/10/2000,34,Larger Than Life,Backstreet Boys
1/10/2000,35,Dancin',Guy
1/10/2000,36,Caught Out There,Kelis
1/10/2000,37,Stay The Night,IMX
1/10/2000,38,One Night Stand,J-Shin &amp; Latocha Scott
1/10/2000,39,G'd Up,Snoop Dogg Presents Tha Eastsidaz
1/10/2000,40,Big Deal,LeAnn Rimes
1/17/2000,1,I Knew I Loved You,Savage Garden
1/17/2000,2,What A Girl Wants,Christina Aguilera
1/17/2000,3,Smooth,Santana &amp; Rob Thomas
1/17/2000,4,Back At One,Brian McKnight
1/17/2000,5,My Love Is Your Love,Whitney Houston
1/17/2000,6,I Need To Know,Marc Anthony
1/17/2000,7,I Wanna Love You Forever,Jessica Simpson
1/17/2000,8,Blue (da Ba Dee),Eiffel 65
1/17/2000,9,Bring It All To Me,Blaque
1/17/2000,10,Then The Morning Comes,Smash Mouth
1/17/2000,11,Waiting For Tonight,Jennifer Lopez
1/17/2000,12,Meet Virginia,Train
1/17/2000,13,That's The Way It Is,Celine Dion
1/17/2000,14,Girl On Tv,LFO
1/17/2000,15,Steal My Sunshine,Len
1/17/2000,16,Learn To Fly,Foo Fighters
1/17/2000,17,Hanginaround,Counting Crows
1/17/2000,18,U Know What's Up,Donell Jones
1/17/2000,19,Shake Your Bon-Bon,Ricky Martin
1/17/2000,20,The Rhythm Divine,Enrique Iglesias
1/17/2000,21,Take A Picture,Filter
1/17/2000,22,Unpretty,TLC
1/17/2000,23,Hot Boyz,Missy 'Misdemeanor' Elliott
1/17/2000,24,Mambo No.5 (a Little Bit Of...),Lou Bega
1/17/2000,25,Show Me The Meaning Of Being Lonely,Backstreet Boys
1/17/2000,26,He Can't Love You,Jagged Edge
1/17/2000,27,All The Small Things,Blink 182
1/17/2000,28,(You Drive Me) Crazy,Britney Spears
1/17/2000,29,Auld Lang Syne,Kenny G
1/17/2000,30,Don't Say You Love Me,M2M
1/17/2000,31,24/7,Kevon Edmonds
1/17/2000,32,You Can Do It,Ice Cube
1/17/2000,33,Caught Out There,Kelis
1/17/2000,34,Dancin',Guy
1/17/2000,35,One Night Stand,J-Shin &amp; Latocha Scott
1/17/2000,36,"4,5,6",Sole Featuring J.t. Money And Kandi
1/17/2000,37,Will 2k,Will Smith &amp; K-Ci
1/17/2000,38,G'd Up,Snoop Dogg Presents Tha Eastsidaz
1/17/2000,39,It Feels So Good,Sonique
1/17/2000,40,Stay The Night,IMX
1/24/2000,1,I Knew I Loved You,Savage Garden
1/24/2000,2,What A Girl Wants,Christina Aguilera
1/24/2000,3,Smooth,Santana &amp; Rob Thomas
1/24/2000,4,Blue (da Ba Dee),Eiffel 65
1/24/2000,5,My Love Is Your Love,Whitney Houston
1/24/2000,6,Back At One,Brian McKnight
1/24/2000,7,I Need To Know,Marc Anthony
1/24/2000,8,I Wanna Love You Forever,Jessica Simpson
1/24/2000,9,Bring It All To Me,Blaque
1/24/2000,10,Then The Morning Comes,Smash Mouth
1/24/2000,11,That's The Way It Is,Celine Dion
1/24/2000,12,Show Me The Meaning Of Being Lonely,Backstreet Boys
1/24/2000,13,Waiting For Tonight,Jennifer Lopez
1/24/2000,14,Meet Virginia,Train
1/24/2000,15,Girl On Tv,LFO
1/24/2000,16,Learn To Fly,Foo Fighters
1/24/2000,17,Take A Picture,Filter
1/24/2000,18,Hot Boyz,Missy 'Misdemeanor' Elliott
1/24/2000,19,Hanginaround,Counting Crows
1/24/2000,20,The Rhythm Divine,Enrique Iglesias
1/24/2000,21,Steal My Sunshine,Len
1/24/2000,22,All The Small Things,Blink 182
1/24/2000,23,U Know What's Up,Donell Jones
1/24/2000,24,He Can't Love You,Jagged Edge
1/24/2000,25,Shake Your Bon-Bon,Ricky Martin
1/24/2000,26,You Can Do It,Ice Cube
1/24/2000,27,Falls Apart,Sugar Ray
1/24/2000,28,One Night Stand,J-Shin &amp; Latocha Scott
1/24/2000,29,24/7,Kevon Edmonds
1/24/2000,30,I Like It,Sammie
1/24/2000,31,Caught Out There,Kelis
1/24/2000,32,Don't Say You Love Me,M2M
1/24/2000,33,Unpretty,TLC
1/24/2000,34,Dancin',Guy
1/24/2000,35,G'd Up,Snoop Dogg Presents Tha Eastsidaz
1/24/2000,36,It Feels So Good,Sonique
1/24/2000,37,"4,5,6",Sole Featuring J.t. Money And Kandi
1/24/2000,38,Mambo No.5 (a Little Bit Of...),Lou Bega
1/24/2000,39,(You Drive Me) Crazy,Britney Spears
1/24/2000,40,If You Love Me,Mint Condition
1/31/2000,1,I Knew I Loved You,Savage Garden
1/31/2000,2,What A Girl Wants,Christina Aguilera
1/31/2000,3,Smooth,Santana &amp; Rob Thomas
1/31/2000,4,Blue (da Ba Dee),Eiffel 65
1/31/2000,5,Then The Morning Comes,Smash Mouth
1/31/2000,6,My Love Is Your Love,Whitney Houston
1/31/2000,7,All The Small Things,Blink 182
1/31/2000,8,Back At One,Brian McKnight
1/31/2000,9,I Need To Know,Marc Anthony
1/31/2000,10,Take A Picture,Filter
1/31/2000,11,Bring It All To Me,Blaque
1/31/2000,12,I Wanna Love You Forever,Jessica Simpson
1/31/2000,13,That's The Way It Is,Celine Dion
1/31/2000,14,Show Me The Meaning Of Being Lonely,Backstreet Boys
1/31/2000,15,Shake Your Bon-Bon,Ricky Martin
1/31/2000,16,Meet Virginia,Train
1/31/2000,17,Girl On Tv,LFO
1/31/2000,18,Waiting For Tonight,Jennifer Lopez
1/31/2000,19,Learn To Fly,Foo Fighters
1/31/2000,20,Hot Boyz,Missy 'Misdemeanor' Elliott
1/31/2000,21,Hanginaround,Counting Crows
1/31/2000,22,The Rhythm Divine,Enrique Iglesias
1/31/2000,23,Falls Apart,Sugar Ray
1/31/2000,24,It Feels So Good,Sonique
1/31/2000,25,Bye Bye Bye,NSync
1/31/2000,26,Get It On Tonite,Montell Jordan
1/31/2000,27,He Can't Love You,Jagged Edge
1/31/2000,28,U Know What's Up,Donell Jones
1/31/2000,29,One Night Stand,J-Shin &amp; Latocha Scott
1/31/2000,30,I Like It,Sammie
1/31/2000,31,Amazed,Lonestar
1/31/2000,32,Never Let You Go,Third Eye Blind
1/31/2000,33,You Can Do It,Ice Cube
1/31/2000,34,From The Bottom Of My Broken Heart,Britney Spears
1/31/2000,35,Steal My Sunshine,Len
1/31/2000,36,G'd Up,Snoop Dogg Presents Tha Eastsidaz
1/31/2000,37,Caught Out There,Kelis
1/31/2000,38,Dancin',Guy
1/31/2000,39,24/7,Kevon Edmonds
1/31/2000,40,Say My Name,Destiny's Child
2/7/2000,1,I Knew I Loved You,Savage Garden
2/7/2000,2,What A Girl Wants,Christina Aguilera
2/7/2000,3,Smooth,Santana &amp; Rob Thomas
2/7/2000,4,Blue (da Ba Dee),Eiffel 65
2/7/2000,5,All The Small Things,Blink 182
2/7/2000,6,Then The Morning Comes,Smash Mouth
2/7/2000,7,Show Me The Meaning Of Being Lonely,Backstreet Boys
2/7/2000,8,Take A Picture,Filter
2/7/2000,9,My Love Is Your Love,Whitney Houston
2/7/2000,10,Bring It All To Me,Blaque
2/7/2000,11,Back At One,Brian McKnight
2/7/2000,12,I Need To Know,Marc Anthony
2/7/2000,13,That's The Way It Is,Celine Dion
2/7/2000,14,I Wanna Love You Forever,Jessica Simpson
2/7/2000,15,Thank God I Foound You,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
2/7/2000,16,Shake Your Bon-Bon,Ricky Martin
2/7/2000,17,Meet Virginia,Train
2/7/2000,18,Bye Bye Bye,NSync
2/7/2000,19,Never Let You Go,Third Eye Blind
2/7/2000,20,Hot Boyz,Missy 'Misdemeanor' Elliott
2/7/2000,21,Falls Apart,Sugar Ray
2/7/2000,22,Girl On Tv,LFO
2/7/2000,23,Maria Maria,Santana &amp; The Product G&amp;B
2/7/2000,24,Learn To Fly,Foo Fighters
2/7/2000,25,It Feels So Good,Sonique
2/7/2000,26,Amazed,Lonestar
2/7/2000,27,Waiting For Tonight,Jennifer Lopez
2/7/2000,28,Get It On Tonite,Montell Jordan
2/7/2000,29,The Rhythm Divine,Enrique Iglesias
2/7/2000,30,From The Bottom Of My Broken Heart,Britney Spears
2/7/2000,31,Hanginaround,Counting Crows
2/7/2000,32,He Can't Love You,Jagged Edge
2/7/2000,33,Best Friend,Puff Daddy
2/7/2000,34,I Like It,Sammie
2/7/2000,35,G'd Up,Snoop Dogg Presents Tha Eastsidaz
2/7/2000,36,"Tricky,tricky",Lou Bega
2/7/2000,37,One Night Stand,J-Shin &amp; Latocha Scott
2/7/2000,38,Sexual (li Da Di),Amber
2/7/2000,39,Dancin',Guy
2/7/2000,40,U Know What's Up,Donell Jones
2/14/2000,1,What A Girl Wants,Christina Aguilera
2/14/2000,2,I Knew I Loved You,Savage Garden
2/14/2000,3,Show Me The Meaning Of Being Lonely,Backstreet Boys
2/14/2000,4,Smooth,Santana &amp; Rob Thomas
2/14/2000,5,Blue (da Ba Dee),Eiffel 65
2/14/2000,6,All The Small Things,Blink 182
2/14/2000,7,Bring It All To Me,Blaque
2/14/2000,8,Take A Picture,Filter
2/14/2000,9,My Love Is Your Love,Whitney Houston
2/14/2000,10,Back At One,Brian McKnight
2/14/2000,11,That's The Way It Is,Celine Dion
2/14/2000,12,Then The Morning Comes,Smash Mouth
2/14/2000,13,Bye Bye Bye,NSync
2/14/2000,14,I Need To Know,Marc Anthony
2/14/2000,15,Thank God I Foound You,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
2/14/2000,16,It Feels So Good,Sonique
2/14/2000,17,Never Let You Go,Third Eye Blind
2/14/2000,18,Maria Maria,Santana &amp; The Product G&amp;B
2/14/2000,19,I Wanna Love You Forever,Jessica Simpson
2/14/2000,20,Falls Apart,Sugar Ray
2/14/2000,21,Hot Boyz,Missy 'Misdemeanor' Elliott
2/14/2000,22,Meet Virginia,Train
2/14/2000,23,Amazed,Lonestar
2/14/2000,24,Shake Your Bon-Bon,Ricky Martin
2/14/2000,25,From The Bottom Of My Broken Heart,Britney Spears
2/14/2000,26,Get It On Tonite,Montell Jordan
2/14/2000,27,The Rhythm Divine,Enrique Iglesias
2/14/2000,28,Girl On Tv,LFO
2/14/2000,29,Waiting For Tonight,Jennifer Lopez
2/14/2000,30,Best Friend,Puff Daddy
2/14/2000,31,He Can't Love You,Jagged Edge
2/14/2000,32,I Like It,Sammie
2/14/2000,33,Learn To Fly,Foo Fighters
2/14/2000,34,Another Dumb Blonde,Hoku
2/14/2000,35,One Night Stand,J-Shin &amp; Latocha Scott
2/14/2000,36,Everything You Want,Vertical Horizon
2/14/2000,37,G'd Up,Snoop Dogg Presents Tha Eastsidaz
2/14/2000,38,Dear Lie,TLC
2/14/2000,39,24/7,Kevon Edmonds
2/14/2000,40,"Tricky,tricky",Lou Bega
2/21/2000,1,What A Girl Wants,Christina Aguilera
2/21/2000,2,Show Me The Meaning Of Being Lonely,Backstreet Boys
2/21/2000,3,I Knew I Loved You,Savage Garden
2/21/2000,4,Smooth,Santana &amp; Rob Thomas
2/21/2000,5,Bye Bye Bye,NSync
2/21/2000,6,Blue (da Ba Dee),Eiffel 65
2/21/2000,7,All The Small Things,Blink 182
2/21/2000,8,Bring It All To Me,Blaque
2/21/2000,9,Amazed,Lonestar
2/21/2000,10,Take A Picture,Filter
2/21/2000,11,That's The Way It Is,Celine Dion
2/21/2000,12,From The Bottom Of My Broken Heart,Britney Spears
2/21/2000,13,Back At One,Brian McKnight
2/21/2000,14,Then The Morning Comes,Smash Mouth
2/21/2000,15,Thank God I Foound You,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
2/21/2000,16,It Feels So Good,Sonique
2/21/2000,17,I Need To Know,Marc Anthony
2/21/2000,18,Never Let You Go,Third Eye Blind
2/21/2000,19,Maria Maria,Santana &amp; The Product G&amp;B
2/21/2000,20,My Love Is Your Love,Whitney Houston
2/21/2000,21,Falls Apart,Sugar Ray
2/21/2000,22,Hot Boyz,Missy 'Misdemeanor' Elliott
2/21/2000,23,Breathe,Faith Hill
2/21/2000,24,Meet Virginia,Train
2/21/2000,25,I Wanna Love You Forever,Jessica Simpson
2/21/2000,26,Get It On Tonite,Montell Jordan
2/21/2000,27,Everything You Want,Vertical Horizon
2/21/2000,28,Shake Your Bon-Bon,Ricky Martin
2/21/2000,29,I Like It,Sammie
2/21/2000,30,Girl On Tv,LFO
2/21/2000,31,Another Dumb Blonde,Hoku
2/21/2000,32,He Can't Love You,Jagged Edge
2/21/2000,33,The Rhythm Divine,Enrique Iglesias
2/21/2000,34,Best Friend,Puff Daddy
2/21/2000,35,One Night Stand,J-Shin &amp; Latocha Scott
2/21/2000,36,Dear Lie,TLC
2/21/2000,37,Learn To Fly,Foo Fighters
2/21/2000,38,G'd Up,Snoop Dogg Presents Tha Eastsidaz
2/21/2000,39,Say My Name,Destiny's Child
2/21/2000,40,Waiting For Tonight,Jennifer Lopez
2/28/2000,1,Bye Bye Bye,NSync
2/28/2000,2,Show Me The Meaning Of Being Lonely,Backstreet Boys
2/28/2000,3,I Knew I Loved You,Savage Garden
2/28/2000,4,What A Girl Wants,Christina Aguilera
2/28/2000,5,Amazed,Lonestar
2/28/2000,6,Smooth,Santana &amp; Rob Thomas
2/28/2000,7,All The Small Things,Blink 182
2/28/2000,8,That's The Way It Is,Celine Dion
2/28/2000,9,Blue (da Ba Dee),Eiffel 65
2/28/2000,10,Bring It All To Me,Blaque
2/28/2000,11,Take A Picture,Filter
2/28/2000,12,Maria Maria,Santana &amp; The Product G&amp;B
2/28/2000,13,It Feels So Good,Sonique
2/28/2000,14,Breathe,Faith Hill
2/28/2000,15,From The Bottom Of My Broken Heart,Britney Spears
2/28/2000,16,Then The Morning Comes,Smash Mouth
2/28/2000,17,Back At One,Brian McKnight
2/28/2000,18,Thank God I Foound You,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
2/28/2000,19,Never Let You Go,Third Eye Blind
2/28/2000,20,I Need To Know,Marc Anthony
2/28/2000,21,Falls Apart,Sugar Ray
2/28/2000,22,Hot Boyz,Missy 'Misdemeanor' Elliott
2/28/2000,23,My Love Is Your Love,Whitney Houston
2/28/2000,24,Everything You Want,Vertical Horizon
2/28/2000,25,American Pie,Madonna
2/28/2000,26,Say My Name,Destiny's Child
2/28/2000,27,Get It On Tonite,Montell Jordan
2/28/2000,28,I Like It,Sammie
2/28/2000,29,There You Go,P!nk
2/28/2000,30,Meet Virginia,Train
2/28/2000,31,Another Dumb Blonde,Hoku
2/28/2000,32,One Night Stand,J-Shin &amp; Latocha Scott
2/28/2000,33,Dear Lie,TLC
2/28/2000,34,He Can't Love You,Jagged Edge
2/28/2000,35,Best Friend,Puff Daddy
2/28/2000,36,Shake Your Bon-Bon,Ricky Martin
2/28/2000,37,Still In My Heart,Tracie Spencer
2/28/2000,38,Don't Say You Love Me,M2M
2/28/2000,39,Only God Knows Why,Kid Rock
2/28/2000,40,Girl On Tv,LFO
3/6/2000,1,Bye Bye Bye,NSync
3/6/2000,2,Show Me The Meaning Of Being Lonely,Backstreet Boys
3/6/2000,3,That's The Way It Is,Celine Dion
3/6/2000,4,I Knew I Loved You,Savage Garden
3/6/2000,5,Amazed,Lonestar
3/6/2000,6,Smooth,Santana &amp; Rob Thomas
3/6/2000,7,What A Girl Wants,Christina Aguilera
3/6/2000,8,All The Small Things,Blink 182
3/6/2000,9,Maria Maria,Santana &amp; The Product G&amp;B
3/6/2000,10,Blue (da Ba Dee),Eiffel 65
3/6/2000,11,Take A Picture,Filter
3/6/2000,12,Bring It All To Me,Blaque
3/6/2000,13,Breathe,Faith Hill
3/6/2000,14,It Feels So Good,Sonique
3/6/2000,15,Never Let You Go,Third Eye Blind
3/6/2000,16,From The Bottom Of My Broken Heart,Britney Spears
3/6/2000,17,Back At One,Brian McKnight
3/6/2000,18,Then The Morning Comes,Smash Mouth
3/6/2000,19,Falls Apart,Sugar Ray
3/6/2000,20,Thank God I Foound You,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
3/6/2000,21,I Need To Know,Marc Anthony
3/6/2000,22,Everything You Want,Vertical Horizon
3/6/2000,23,American Pie,Madonna
3/6/2000,24,Say My Name,Destiny's Child
3/6/2000,25,Hot Boyz,Missy 'Misdemeanor' Elliott
3/6/2000,26,My Love Is Your Love,Whitney Houston
3/6/2000,27,There You Go,P!nk
3/6/2000,28,Get It On Tonite,Montell Jordan
3/6/2000,29,Only God Knows Why,Kid Rock
3/6/2000,30,I Like It,Sammie
3/6/2000,31,Another Dumb Blonde,Hoku
3/6/2000,32,Dear Lie,TLC
3/6/2000,33,I Learned From The Best,Whitney Houston
3/6/2000,34,One Night Stand,J-Shin &amp; Latocha Scott
3/6/2000,35,Still In My Heart,Tracie Spencer
3/6/2000,36,He Can't Love You,Jagged Edge
3/6/2000,37,U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla
3/6/2000,38,Shake Your Bon-Bon,Ricky Martin
3/6/2000,39,I Try,Macy Gray
3/6/2000,40,Best Friend,Puff Daddy
3/13/2000,1,Bye Bye Bye,NSync
3/13/2000,2,Show Me The Meaning Of Being Lonely,Backstreet Boys
3/13/2000,3,Amazed,Lonestar
3/13/2000,4,That's The Way It Is,Celine Dion
3/13/2000,5,Maria Maria,Santana &amp; The Product G&amp;B
3/13/2000,6,I Knew I Loved You,Savage Garden
3/13/2000,7,Smooth,Santana &amp; Rob Thomas
3/13/2000,8,All The Small Things,Blink 182
3/13/2000,9,Breathe,Faith Hill
3/13/2000,10,Say My Name,Destiny's Child
3/13/2000,11,What A Girl Wants,Christina Aguilera
3/13/2000,12,It Feels So Good,Sonique
3/13/2000,13,Bring It All To Me,Blaque
3/13/2000,14,Take A Picture,Filter
3/13/2000,15,Never Let You Go,Third Eye Blind
3/13/2000,16,Blue (da Ba Dee),Eiffel 65
3/13/2000,17,Then The Morning Comes,Smash Mouth
3/13/2000,18,Everything You Want,Vertical Horizon
3/13/2000,19,Falls Apart,Sugar Ray
3/13/2000,20,American Pie,Madonna
3/13/2000,21,From The Bottom Of My Broken Heart,Britney Spears
3/13/2000,22,Get It On Tonite,Montell Jordan
3/13/2000,23,Back At One,Brian McKnight
3/13/2000,24,Only God Knows Why,Kid Rock
3/13/2000,25,Hot Boyz,Missy 'Misdemeanor' Elliott
3/13/2000,26,I Try,Macy Gray
3/13/2000,27,Thank God I Foound You,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
3/13/2000,28,I Need To Know,Marc Anthony
3/13/2000,29,There You Go,P!nk
3/13/2000,30,I Like It,Sammie
3/13/2000,31,Another Dumb Blonde,Hoku
3/13/2000,32,I Learned From The Best,Whitney Houston
3/13/2000,33,Dear Lie,TLC
3/13/2000,34,Goodbye Earl,Dixie Chicks
3/13/2000,35,One Night Stand,J-Shin &amp; Latocha Scott
3/13/2000,36,U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla
3/13/2000,37,Still In My Heart,Tracie Spencer
3/13/2000,38,Thong Song,Sisqo
3/13/2000,39,Feelin' So Good,Jennifer Lopez
3/13/2000,40,Sexual (li Da Di),Amber
3/20/2000,1,Bye Bye Bye,NSync
3/20/2000,2,Show Me The Meaning Of Being Lonely,Backstreet Boys
3/20/2000,3,Amazed,Lonestar
3/20/2000,4,That's The Way It Is,Celine Dion
3/20/2000,5,Maria Maria,Santana &amp; The Product G&amp;B
3/20/2000,6,Say My Name,Destiny's Child
3/20/2000,7,Breathe,Faith Hill
3/20/2000,8,Never Let You Go,Third Eye Blind
3/20/2000,9,I Knew I Loved You,Savage Garden
3/20/2000,10,It Feels So Good,Sonique
3/20/2000,11,All The Small Things,Blink 182
3/20/2000,12,Smooth,Santana &amp; Rob Thomas
3/20/2000,13,What A Girl Wants,Christina Aguilera
3/20/2000,14,Bring It All To Me,Blaque
3/20/2000,15,Take A Picture,Filter
3/20/2000,16,Everything You Want,Vertical Horizon
3/20/2000,17,Only God Knows Why,Kid Rock
3/20/2000,18,Get It On Tonite,Montell Jordan
3/20/2000,19,I Try,Macy Gray
3/20/2000,20,American Pie,Madonna
3/20/2000,21,Falls Apart,Sugar Ray
3/20/2000,22,From The Bottom Of My Broken Heart,Britney Spears
3/20/2000,23,Then The Morning Comes,Smash Mouth
3/20/2000,24,Blue (da Ba Dee),Eiffel 65
3/20/2000,25,Back At One,Brian McKnight
3/20/2000,26,Hot Boyz,Missy 'Misdemeanor' Elliott
3/20/2000,27,Thank God I Foound You,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
3/20/2000,28,There You Go,P!nk
3/20/2000,29,Another Dumb Blonde,Hoku
3/20/2000,30,I Learned From The Best,Whitney Houston
3/20/2000,31,You Sang To Me,Marc Anthony
3/20/2000,32,I Like It,Sammie
3/20/2000,33,Goodbye Earl,Dixie Chicks
3/20/2000,34,One Night Stand,J-Shin &amp; Latocha Scott
3/20/2000,35,The Bad Touch,Bloodhound Gang
3/20/2000,36,U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla
3/20/2000,37,Higher,Creed
3/20/2000,38,Mirror Mirror,M2M
3/20/2000,39,Still In My Heart,Tracie Spencer
3/20/2000,40,Thong Song,Sisqo
3/27/2000,1,Bye Bye Bye,NSync
3/27/2000,2,Maria Maria,Santana &amp; The Product G&amp;B
3/27/2000,3,Show Me The Meaning Of Being Lonely,Backstreet Boys
3/27/2000,4,Amazed,Lonestar
3/27/2000,5,That's The Way It Is,Celine Dion
3/27/2000,6,Say My Name,Destiny's Child
3/27/2000,7,Breathe,Faith Hill
3/27/2000,8,It Feels So Good,Sonique
3/27/2000,9,Never Let You Go,Third Eye Blind
3/27/2000,10,Smooth,Santana &amp; Rob Thomas
3/27/2000,11,All The Small Things,Blink 182
3/27/2000,12,I Knew I Loved You,Savage Garden
3/27/2000,13,What A Girl Wants,Christina Aguilera
3/27/2000,14,Bring It All To Me,Blaque
3/27/2000,15,Everything You Want,Vertical Horizon
3/27/2000,16,I Try,Macy Gray
3/27/2000,17,Only God Knows Why,Kid Rock
3/27/2000,18,Take A Picture,Filter
3/27/2000,19,Get It On Tonite,Montell Jordan
3/27/2000,20,Falls Apart,Sugar Ray
3/27/2000,21,American Pie,Madonna
3/27/2000,22,You Sang To Me,Marc Anthony
3/27/2000,23,From The Bottom Of My Broken Heart,Britney Spears
3/27/2000,24,Blue (da Ba Dee),Eiffel 65
3/27/2000,25,Thank God I Foound You,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
3/27/2000,26,There You Go,P!nk
3/27/2000,27,Hot Boyz,Missy 'Misdemeanor' Elliott
3/27/2000,28,Back At One,Brian McKnight
3/27/2000,29,Another Dumb Blonde,Hoku
3/27/2000,30,I Like It,Sammie
3/27/2000,31,Goodbye Earl,Dixie Chicks
3/27/2000,32,Then The Morning Comes,Smash Mouth
3/27/2000,33,I Learned From The Best,Whitney Houston
3/27/2000,34,Higher,Creed
3/27/2000,35,Mirror Mirror,M2M
