week,position,song,artist
7/28/1997,2,Do You Know,Robyn
7/28/1997,3,Sunny Came Home,Shawn Colvin
7/28/1997,4,Quit Playing Games (with My Heart),Backstreet Boys
7/28/1997,5,Semi-charmed Life,Third Eye Blind
7/28/1997,6,Return Of The Mack,Mark Morrison
7/28/1997,7,Mmm Bop,Hanson
7/28/1997,8,How Bizarre,Omc
7/28/1997,9,The Freshmen,Verve Pipe
7/28/1997,10,Say You'll Be There,Spice Girls
7/28/1997,11,All For You,Sister Hazel
7/28/1997,12,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
7/28/1997,13,Gotham City,R. Kelly
7/28/1997,14,Whatever,En Vogue
7/28/1997,15,I'll Be Missing You,Puff Daddy &amp; Faith Evans
7/28/1997,16,I Want You,Savage Garden
7/28/1997,17,A Change Would Do You Good,Sheryl Crow
7/28/1997,18,For You I Will,Monica
7/28/1997,19,One Headlight,Wallflowers
7/28/1997,20,Barely Breathing,Duncan Sheik
7/28/1997,21,"Mo Money,mo Problems",Notorious B.I.G.
7/28/1997,22,Men In Black,Will Smith
7/28/1997,23,2 Become 1,Spice Girls
7/28/1997,24,You Were Meant For Me,Jewel
7/28/1997,25,Your Woman,White Town
7/28/1997,26,To The Moon And Back,Savage Garden
7/28/1997,27,Look Into My Eyes,Bone Thugs-N-Harmony
7/28/1997,28,More Than This,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
7/28/1997,29,Where Have All The Cowboys Gone?,Paula Cole
7/28/1997,30,How Do I Live,LeAnn Rimes
7/28/1997,31,G.h.e.t.t.o.u.t.,Changing Faces
7/28/1997,32,It's Your Love,Tim McGraw
7/28/1997,33,Smile,Scarface Feturing 2Pac &amp; Johnny P
7/28/1997,34,C U When U Get There,Coolio &amp; 40 Thevz
7/28/1997,35,Crash Into Me,Dave Matthews Band
7/28/1997,36,Gimme Some Love,Gina G
7/28/1997,37,How Do I Live,Trisha Yearwood
7/28/1997,38,I Belong To You,Rome
7/28/1997,39,Don't Leave Me,Blackstreet
7/28/1997,40,Go The Distance,Michael Bolton
8/4/1997,1,Bitch,Meredith Brooks
8/4/1997,2,Do You Know,Robyn
8/4/1997,3,Quit Playing Games (with My Heart),Backstreet Boys
8/4/1997,4,Semi-charmed Life,Third Eye Blind
8/4/1997,5,Sunny Came Home,Shawn Colvin
8/4/1997,6,How Bizarre,Omc
8/4/1997,7,Return Of The Mack,Mark Morrison
8/4/1997,8,The Freshmen,Verve Pipe
8/4/1997,9,All For You,Sister Hazel
8/4/1997,10,Mmm Bop,Hanson
8/4/1997,11,I'll Be Missing You,Puff Daddy &amp; Faith Evans
8/4/1997,12,Say You'll Be There,Spice Girls
8/4/1997,13,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
8/4/1997,14,Gotham City,R. Kelly
8/4/1997,15,Whatever,En Vogue
8/4/1997,16,Men In Black,Will Smith
8/4/1997,17,2 Become 1,Spice Girls
8/4/1997,18,A Change Would Do You Good,Sheryl Crow
8/4/1997,19,One Headlight,Wallflowers
8/4/1997,20,"Mo Money,mo Problems",Notorious B.I.G.
8/4/1997,21,I Want You,Savage Garden
8/4/1997,22,More Than This,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
8/4/1997,23,Barely Breathing,Duncan Sheik
8/4/1997,24,To The Moon And Back,Savage Garden
8/4/1997,25,For You I Will,Monica
8/4/1997,26,Where's The Love,Hanson
8/4/1997,27,Not Tonight,"Lil' Kim Feat. Da Brat. Left Eye, Elliott And Angie Martinez"
8/4/1997,28,How Do I Live,LeAnn Rimes
8/4/1997,29,Never Make A Promise,Dru Hill
8/4/1997,30,Look Into My Eyes,Bone Thugs-N-Harmony
8/4/1997,31,Crash Into Me,Dave Matthews Band
8/4/1997,32,C U When U Get There,Coolio &amp; 40 Thevz
8/4/1997,33,Your Woman,White Town
8/4/1997,34,It's Your Love,Tim McGraw
8/4/1997,35,G.h.e.t.t.o.u.t.,Changing Faces
8/4/1997,36,You Were Meant For Me,Jewel
8/4/1997,37,The Difference,Wallflowers
8/4/1997,38,Someone,SWV (featuring Puff Daddy)
8/4/1997,39,Invisible Man,98 Degrees
8/4/1997,40,Push,Matchbox 20
8/11/1997,1,Bitch,Meredith Brooks
8/11/1997,2,Semi-charmed Life,Third Eye Blind
8/11/1997,3,Quit Playing Games (with My Heart),Backstreet Boys
8/11/1997,4,Do You Know,Robyn
8/11/1997,5,How Bizarre,Omc
8/11/1997,6,Sunny Came Home,Shawn Colvin
8/11/1997,7,2 Become 1,Spice Girls
8/11/1997,8,All For You,Sister Hazel
8/11/1997,9,Return Of The Mack,Mark Morrison
8/11/1997,10,The Freshmen,Verve Pipe
8/11/1997,11,I'll Be Missing You,Puff Daddy &amp; Faith Evans
8/11/1997,12,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
8/11/1997,13,Mmm Bop,Hanson
8/11/1997,14,Say You'll Be There,Spice Girls
8/11/1997,15,Men In Black,Will Smith
8/11/1997,16,Gotham City,R. Kelly
8/11/1997,17,More Than This,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
8/11/1997,18,Where's The Love,Hanson
8/11/1997,19,A Change Would Do You Good,Sheryl Crow
8/11/1997,20,"Mo Money,mo Problems",Notorious B.I.G.
8/11/1997,21,One Headlight,Wallflowers
8/11/1997,22,Invisible Man,98 Degrees
8/11/1997,23,Barely Breathing,Duncan Sheik
8/11/1997,24,To The Moon And Back,Savage Garden
8/11/1997,25,How Do I Live,LeAnn Rimes
8/11/1997,26,Not Tonight,"Lil' Kim Feat. Da Brat. Left Eye, Elliott And Angie Martinez"
8/11/1997,27,Never Make A Promise,Dru Hill
8/11/1997,28,I Want You,Savage Garden
8/11/1997,29,Push,Matchbox 20
8/11/1997,30,Crash Into Me,Dave Matthews Band
8/11/1997,31,Coco Jamboo,Mr.President
8/11/1997,32,C U When U Get There,Coolio &amp; 40 Thevz
8/11/1997,33,The Difference,Wallflowers
8/11/1997,34,Foolish Games,Jewel
8/11/1997,35,Whatever,En Vogue
8/11/1997,36,For You I Will,Monica
8/11/1997,37,G.h.e.t.t.o.u.t.,Changing Faces
8/11/1997,38,Look Into My Eyes,Bone Thugs-N-Harmony
8/11/1997,39,You Were Meant For Me,Jewel
8/11/1997,40,Someone,SWV (featuring Puff Daddy)
8/18/1997,1,Semi-charmed Life,Third Eye Blind
8/18/1997,2,Quit Playing Games (with My Heart),Backstreet Boys
8/18/1997,3,Bitch,Meredith Brooks
8/18/1997,4,Do You Know,Robyn
8/18/1997,5,How Bizarre,Omc
8/18/1997,6,2 Become 1,Spice Girls
8/18/1997,7,Sunny Came Home,Shawn Colvin
8/18/1997,8,All For You,Sister Hazel
8/18/1997,9,I'll Be Missing You,Puff Daddy &amp; Faith Evans
8/18/1997,10,The Freshmen,Verve Pipe
8/18/1997,11,Return Of The Mack,Mark Morrison
8/18/1997,12,Men In Black,Will Smith
8/18/1997,13,Where's The Love,Hanson
8/18/1997,14,Hard To Say I'm Sorry,Az Yet &amp; Peter Cetera
8/18/1997,15,More Than This,"<img border=""0"" class=""lazyimg"" src=""https://top40-charts.com/images/spacer.gif"" width=""75""/>"
8/18/1997,16,Invisible Man,98 Degrees
8/18/1997,17,Say You'll Be There,Spice Girls
8/18/1997,18,Mmm Bop,Hanson
8/18/1997,19,A Change Would Do You Good,Sheryl Crow
8/18/1997,20,"Mo Money,mo Problems",Notorious B.I.G.
8/18/1997,21,How Do I Live,LeAnn Rimes
8/18/1997,22,Coco Jamboo,Mr.President
8/18/1997,23,Foolish Games,Jewel
