,week,position,song,artist
4843,11/1/1999,4,Steal My Sunshine,Len
4844,11/1/1999,5,Scar Tissue,Red Hot Chili Peppers
4845,11/1/1999,6,I Need To Know,Marc Anthony
4846,11/1/1999,7,(You Drive Me) Crazy,Britney Spears
4847,11/1/1999,8,Heartbreaker,Mariah Carey
4848,11/1/1999,9,Someday,Sugar Ray
4849,11/1/1999,10,Genie In A Bottle,Christina Aguilera
4850,11/1/1999,11,I Do (Cherish You),98 Degrees
4851,11/1/1999,12,Larger Than Life,Backstreet Boys
4852,11/1/1999,13,She's All I Ever Had,Ricky Martin
4853,11/1/1999,14,Where My Girls At?,702
4854,11/1/1999,15,All Star,Smash Mouth
4855,11/1/1999,16,Waiting For Tonight,Jennifer Lopez
4856,11/1/1999,17,There She Goes,Sixpence None The Richer
4857,11/1/1999,18,Satisfy You,Puff Daddy
4858,11/1/1999,19,Back At One,Brian McKnight
4859,11/1/1999,20,She's So High,Tal Bachman
4860,11/1/1999,21,Black Balloon,Goo Goo Dolls
4861,11/1/1999,22,Candy,Mandy Moore
4862,11/1/1999,23,Man! I Feel Like A Woman!,Shania Twain
4863,11/1/1999,24,Music Of My Heart,'N Sync
4864,11/1/1999,25,Bailamos,Enrique Iglesias
4865,11/1/1999,26,My Love Is Your Love,Whitney Houston
4866,11/1/1999,27,I Wanna Love You Forever,Jessica Simpson
4867,11/1/1999,28,We Can't Be Friends,Deborah Cox With R.l.
4868,11/1/1999,29,If I Could Turn Back The Hands Of Time,R. Kelly
4869,11/1/1999,30,U Know What's Up,Donell Jones
4870,11/1/1999,31,I Want It All,Warren G
4871,11/1/1999,32,I Knew I Loved You,Savage Garden
4872,11/1/1999,33,Get Gone,Ideal
4873,11/1/1999,34,Stay The Night,IMX
4874,11/1/1999,35,Meet Virginia,Train
4875,11/1/1999,36,Lost In You,Garth Brooks As Chris Gaines
4876,11/1/1999,37,American Woman,Lenny Kravitz
4878,11/1/1999,39,"4,5,6",Sole
4879,11/1/1999,40,If You Love Me,Mint Condition
4880,11/8/1999,1,Smooth,Santana
4881,11/8/1999,2,Mambo No.5 (a Little Bit Of...),Lou Bega
4882,11/8/1999,3,Steal My Sunshine,Len
4883,11/8/1999,4,Unpretty,TLC
4884,11/8/1999,5,(You Drive Me) Crazy,Britney Spears
4885,11/8/1999,6,I Need To Know,Marc Anthony
4886,11/8/1999,7,Scar Tissue,Red Hot Chili Peppers
4887,11/8/1999,8,Heartbreaker,Mariah Carey
4888,11/8/1999,9,Someday,Sugar Ray
4889,11/8/1999,10,Genie In A Bottle,Christina Aguilera
4890,11/8/1999,11,Larger Than Life,Backstreet Boys
4891,11/8/1999,12,Where My Girls At?,702
4892,11/8/1999,13,Waiting For Tonight,Jennifer Lopez
4893,11/8/1999,14,I Do (Cherish You),98 Degrees
4894,11/8/1999,15,Back At One,Brian McKnight
4895,11/8/1999,16,All Star,Smash Mouth
4896,11/8/1999,17,Satisfy You,Puff Daddy
4897,11/8/1999,18,There She Goes,Sixpence None The Richer
4898,11/8/1999,19,Candy,Mandy Moore
4899,11/8/1999,20,She's So High,Tal Bachman
4900,11/8/1999,21,Man! I Feel Like A Woman!,Shania Twain
4901,11/8/1999,22,I Knew I Loved You,Savage Garden
4902,11/8/1999,23,She's All I Ever Had,Ricky Martin
4903,11/8/1999,24,My Love Is Your Love,Whitney Houston
4904,11/8/1999,25,Get Gone,Ideal
4905,11/8/1999,26,I Wanna Love You Forever,Jessica Simpson
4906,11/8/1999,27,Black Balloon,Goo Goo Dolls
4907,11/8/1999,28,U Know What's Up,Donell Jones
4908,11/8/1999,29,Bailamos,Enrique Iglesias
4909,11/8/1999,30,We Can't Be Friends,Deborah Cox With R.l.
4910,11/8/1999,31,If I Could Turn Back The Hands Of Time,R. Kelly
4911,11/8/1999,32,I Want It All,Warren G
4912,11/8/1999,33,Stay The Night,IMX
4913,11/8/1999,34,Meet Virginia,Train
4914,11/8/1999,35,American Woman,Lenny Kravitz
4915,11/8/1999,36,If You Love Me,Mint Condition
4916,11/8/1999,37,Music Of My Heart,'N Sync
4918,11/8/1999,39,"4,5,6",Sole
4919,11/8/1999,40,15 Minutes,Marc Nelson
4920,11/15/1999,1,Smooth,Santana
4921,11/15/1999,2,Mambo No.5 (a Little Bit Of...),Lou Bega
4922,11/15/1999,3,Steal My Sunshine,Len
4923,11/15/1999,4,I Need To Know,Marc Anthony
4924,11/15/1999,5,Unpretty,TLC
4925,11/15/1999,6,(You Drive Me) Crazy,Britney Spears
4926,11/15/1999,7,Heartbreaker,Mariah Carey
4927,11/15/1999,8,Scar Tissue,Red Hot Chili Peppers
4928,11/15/1999,9,Waiting For Tonight,Jennifer Lopez
4929,11/15/1999,10,Someday,Sugar Ray
4930,11/15/1999,11,Genie In A Bottle,Christina Aguilera
4931,11/15/1999,12,Back At One,Brian McKnight
4932,11/15/1999,13,Where My Girls At?,702
4933,11/15/1999,14,My Love Is Your Love,Whitney Houston
4934,11/15/1999,15,Larger Than Life,Backstreet Boys
4935,11/15/1999,16,I Knew I Loved You,Savage Garden
4936,11/15/1999,17,I Wanna Love You Forever,Jessica Simpson
4937,11/15/1999,18,I Do (Cherish You),98 Degrees
4938,11/15/1999,19,Satisfy You,Puff Daddy
4939,11/15/1999,20,Man! I Feel Like A Woman!,Shania Twain
4940,11/15/1999,21,Will 2k,Will Smith
4941,11/15/1999,22,All Star,Smash Mouth
4942,11/15/1999,23,Candy,Mandy Moore
4943,11/15/1999,24,There She Goes,Sixpence None The Richer
4944,11/15/1999,25,Get Gone,Ideal
4945,11/15/1999,26,U Know What's Up,Donell Jones
4946,11/15/1999,27,She's So High,Tal Bachman
4947,11/15/1999,28,Meet Virginia,Train
4948,11/15/1999,29,If I Could Turn Back The Hands Of Time,R. Kelly
4949,11/15/1999,30,Then The Morning Comes,Smash Mouth
4950,11/15/1999,31,I Want It All,Warren G
4951,11/15/1999,32,Girl On Tv,LFO
4952,11/15/1999,33,If You Love Me,Mint Condition
4953,11/15/1999,34,Don't Say You Love Me,M2M
4954,11/15/1999,35,She's All I Ever Had,Ricky Martin
4955,11/15/1999,36,Stay The Night,IMX
4956,11/15/1999,37,Music Of My Heart,'N Sync
4957,11/15/1999,38,Black Balloon,Goo Goo Dolls
4958,11/15/1999,39,American Woman,Lenny Kravitz
4960,11/22/1999,1,Smooth,Santana
4961,11/22/1999,2,Mambo No.5 (a Little Bit Of...),Lou Bega
4962,11/22/1999,3,I Need To Know,Marc Anthony
4963,11/22/1999,4,Steal My Sunshine,Len
4964,11/22/1999,5,Unpretty,TLC
4965,11/22/1999,6,(You Drive Me) Crazy,Britney Spears
4966,11/22/1999,7,Waiting For Tonight,Jennifer Lopez
4967,11/22/1999,8,Heartbreaker,Mariah Carey
4968,11/22/1999,9,Back At One,Brian McKnight
4969,11/22/1999,10,My Love Is Your Love,Whitney Houston
4970,11/22/1999,11,Scar Tissue,Red Hot Chili Peppers
4971,11/22/1999,12,Someday,Sugar Ray
4972,11/22/1999,13,I Knew I Loved You,Savage Garden
4973,11/22/1999,14,I Wanna Love You Forever,Jessica Simpson
4974,11/22/1999,15,Genie In A Bottle,Christina Aguilera
4975,11/22/1999,16,Where My Girls At?,702
4976,11/22/1999,17,Larger Than Life,Backstreet Boys
4977,11/22/1999,18,Will 2k,Will Smith
4978,11/22/1999,19,I Do (Cherish You),98 Degrees
4979,11/22/1999,20,Then The Morning Comes,Smash Mouth
4980,11/22/1999,21,Satisfy You,Puff Daddy
4981,11/22/1999,22,U Know What's Up,Donell Jones
4982,11/22/1999,23,Meet Virginia,Train
4983,11/22/1999,24,Candy,Mandy Moore
4984,11/22/1999,25,Girl On Tv,LFO
4985,11/22/1999,26,There She Goes,Sixpence None The Richer
4986,11/22/1999,27,Get Gone,Ideal
4987,11/22/1999,28,Don't Say You Love Me,M2M
4988,11/22/1999,29,If I Could Turn Back The Hands Of Time,R. Kelly
4989,11/22/1999,30,American Woman,Lenny Kravitz
4990,11/22/1999,31,Hot Boyz,Missy 'Misdemeanor' Elliott
4991,11/22/1999,32,Man! I Feel Like A Woman!,Shania Twain
4992,11/22/1999,33,Bring It All To Me,Blaque
4993,11/22/1999,34,All Star,Smash Mouth
4994,11/22/1999,35,Stay The Night,IMX
4995,11/22/1999,36,If You Love Me,Mint Condition
4996,11/22/1999,37,I Want It All,Warren G
4997,11/22/1999,38,"4,5,6",Sole
4998,11/22/1999,39,Angels,Robbie Williams
4999,11/22/1999,40,15 Minutes,Marc Nelson
5000,11/29/1999,1,Smooth,Santana
5001,11/29/1999,2,Mambo No.5 (a Little Bit Of...),Lou Bega
5002,11/29/1999,3,Waiting For Tonight,Jennifer Lopez
5003,11/29/1999,4,I Need To Know,Marc Anthony
5004,11/29/1999,5,Steal My Sunshine,Len
5005,11/29/1999,6,Unpretty,TLC
5006,11/29/1999,7,I Knew I Loved You,Savage Garden
5007,11/29/1999,8,My Love Is Your Love,Whitney Houston
5008,11/29/1999,9,Back At One,Brian McKnight
5009,11/29/1999,10,(You Drive Me) Crazy,Britney Spears
5010,11/29/1999,11,I Wanna Love You Forever,Jessica Simpson
5011,11/29/1999,12,Heartbreaker,Mariah Carey
5012,11/29/1999,13,Where My Girls At?,702
5013,11/29/1999,14,Will 2k,Will Smith
5014,11/29/1999,15,Then The Morning Comes,Smash Mouth
5015,11/29/1999,16,Someday,Sugar Ray
5016,11/29/1999,17,Larger Than Life,Backstreet Boys
5017,11/29/1999,18,Scar Tissue,Red Hot Chili Peppers
5018,11/29/1999,19,Genie In A Bottle,Christina Aguilera
5019,11/29/1999,20,Meet Virginia,Train
5020,11/29/1999,21,U Know What's Up,Donell Jones
5021,11/29/1999,22,Girl On Tv,LFO
5022,11/29/1999,23,I Do (Cherish You),98 Degrees
5023,11/29/1999,24,Satisfy You,Puff Daddy
5024,11/29/1999,25,Bring It All To Me,Blaque
5025,11/29/1999,26,Hot Boyz,Missy 'Misdemeanor' Elliott
5026,11/29/1999,27,Candy,Mandy Moore
5027,11/29/1999,28,Don't Say You Love Me,M2M
5028,11/29/1999,29,Shake Your Bon-Bon,Ricky Martin
5029,11/29/1999,30,Get Gone,Ideal
5030,11/29/1999,31,Stay The Night,IMX
5031,11/29/1999,32,American Woman,Lenny Kravitz
5032,11/29/1999,33,"4,5,6",Sole
5033,11/29/1999,34,15 Minutes,Marc Nelson
5034,11/29/1999,35,If You Love Me,Mint Condition
5035,11/29/1999,36,If I Could Turn Back The Hands Of Time,R. Kelly
5036,11/29/1999,37,Hanginaround,Counting Crows
5037,11/29/1999,38,24/7,Kevon Edmonds
5038,11/29/1999,39,There She Goes,Sixpence None The Richer
5039,11/29/1999,40,I Want It All,Warren G
5040,12/6/1999,1,Smooth,Santana
5041,12/6/1999,2,Waiting For Tonight,Jennifer Lopez
5042,12/6/1999,3,I Need To Know,Marc Anthony
5043,12/6/1999,4,I Knew I Loved You,Savage Garden
5044,12/6/1999,5,Back At One,Brian McKnight
5045,12/6/1999,6,Mambo No.5 (a Little Bit Of...),Lou Bega
5046,12/6/1999,7,My Love Is Your Love,Whitney Houston
5047,12/6/1999,8,Steal My Sunshine,Len
5048,12/6/1999,9,Unpretty,TLC
5049,12/6/1999,10,I Wanna Love You Forever,Jessica Simpson
5050,12/6/1999,11,(You Drive Me) Crazy,Britney Spears
5051,12/6/1999,12,Then The Morning Comes,Smash Mouth
5052,12/6/1999,13,Where My Girls At?,702
5053,12/6/1999,14,Meet Virginia,Train
5054,12/6/1999,15,Will 2k,Will Smith
5055,12/6/1999,16,Girl On Tv,LFO
5056,12/6/1999,17,Heartbreaker,Mariah Carey
5057,12/6/1999,18,U Know What's Up,Donell Jones
5058,12/6/1999,19,Scar Tissue,Red Hot Chili Peppers
5059,12/6/1999,20,Someday,Sugar Ray
5060,12/6/1999,21,Larger Than Life,Backstreet Boys
5061,12/6/1999,22,Bring It All To Me,Blaque
5062,12/6/1999,23,What A Girl Wants,Christina Aguilera
5063,12/6/1999,24,Shake Your Bon-Bon,Ricky Martin
5064,12/6/1999,25,Genie In A Bottle,Christina Aguilera
5065,12/6/1999,26,Hot Boyz,Missy 'Misdemeanor' Elliott
5066,12/6/1999,27,Satisfy You,Puff Daddy
5067,12/6/1999,28,Hanginaround,Counting Crows
5068,12/6/1999,29,Don't Say You Love Me,M2M
5069,12/6/1999,30,American Woman,Lenny Kravitz
5070,12/6/1999,31,"4,5,6",Sole
5071,12/6/1999,32,Stay The Night,IMX
5072,12/6/1999,33,24/7,Kevon Edmonds
5073,12/6/1999,34,15 Minutes,Marc Nelson
5074,12/6/1999,35,Get Gone,Ideal
5075,12/6/1999,36,I Do (Cherish You),98 Degrees
5076,12/6/1999,37,If You Love Me,Mint Condition
5077,12/6/1999,38,He Can't Love You,Jagged Edge
5078,12/6/1999,39,Candy,Mandy Moore
5079,12/6/1999,40,If I Could Turn Back The Hands Of Time,R. Kelly
5080,12/13/1999,1,Smooth,Santana
5081,12/13/1999,2,I Knew I Loved You,Savage Garden
5082,12/13/1999,3,Back At One,Brian McKnight
5083,12/13/1999,4,I Need To Know,Marc Anthony
5084,12/13/1999,5,Waiting For Tonight,Jennifer Lopez
5085,12/13/1999,6,My Love Is Your Love,Whitney Houston
5086,12/13/1999,7,I Wanna Love You Forever,Jessica Simpson
5087,12/13/1999,8,Steal My Sunshine,Len
5088,12/13/1999,9,Mambo No.5 (a Little Bit Of...),Lou Bega
5089,12/13/1999,10,Unpretty,TLC
5090,12/13/1999,11,Then The Morning Comes,Smash Mouth
5091,12/13/1999,12,What A Girl Wants,Christina Aguilera
5092,12/13/1999,13,Where My Girls At?,702
5093,12/13/1999,14,Meet Virginia,Train
5094,12/13/1999,15,Bring It All To Me,Blaque
5095,12/13/1999,16,(You Drive Me) Crazy,Britney Spears
5096,12/13/1999,17,Girl On Tv,LFO
5097,12/13/1999,18,U Know What's Up,Donell Jones
5098,12/13/1999,19,Shake Your Bon-Bon,Ricky Martin
5099,12/13/1999,20,Will 2k,Will Smith
5100,12/13/1999,21,Larger Than Life,Backstreet Boys
5101,12/13/1999,22,Learn To Fly,Foo Fighters
5102,12/13/1999,23,Hanginaround,Counting Crows
5103,12/13/1999,24,Hot Boyz,Missy 'Misdemeanor' Elliott
5104,12/13/1999,25,Someday,Sugar Ray
5105,12/13/1999,26,That's The Way It Is,Celine Dion
5106,12/13/1999,27,Scar Tissue,Red Hot Chili Peppers
5107,12/13/1999,28,24/7,Kevon Edmonds
5108,12/13/1999,29,"4,5,6",Sole
5109,12/13/1999,30,Don't Say You Love Me,M2M
5110,12/13/1999,31,15 Minutes,Marc Nelson
5111,12/13/1999,32,He Can't Love You,Jagged Edge
5112,12/13/1999,33,Heartbreaker,Mariah Carey
5113,12/13/1999,34,Stay The Night,IMX
5114,12/13/1999,35,Blue (da Ba Dee),Eiffel 65
5115,12/13/1999,36,American Woman,Lenny Kravitz
5116,12/13/1999,37,You Can Do It,Ice Cube
5117,12/13/1999,38,Get Gone,Ideal
5118,12/13/1999,39,Satisfy You,Puff Daddy
5119,12/13/1999,40,The Christmas Song,Christina Aguilera
5120,12/20/1999,1,Smooth,Santana
5121,12/20/1999,2,I Knew I Loved You,Savage Garden
5122,12/20/1999,3,Back At One,Brian McKnight
5123,12/20/1999,4,I Need To Know,Marc Anthony
5124,12/20/1999,5,Waiting For Tonight,Jennifer Lopez
5125,12/20/1999,6,My Love Is Your Love,Whitney Houston
5126,12/20/1999,7,I Wanna Love You Forever,Jessica Simpson
5127,12/20/1999,8,What A Girl Wants,Christina Aguilera
5128,12/20/1999,9,Steal My Sunshine,Len
5129,12/20/1999,10,Then The Morning Comes,Smash Mouth
5130,12/20/1999,11,Mambo No.5 (a Little Bit Of...),Lou Bega
5131,12/20/1999,12,Bring It All To Me,Blaque
5132,12/20/1999,13,Meet Virginia,Train
5133,12/20/1999,14,Unpretty,TLC
5134,12/20/1999,15,Girl On Tv,LFO
5135,12/20/1999,16,Blue (da Ba Dee),Eiffel 65
5136,12/20/1999,17,Shake Your Bon-Bon,Ricky Martin
5137,12/20/1999,18,U Know What's Up,Donell Jones
5138,12/20/1999,19,Where My Girls At?,702
5139,12/20/1999,20,Learn To Fly,Foo Fighters
5140,12/20/1999,21,(You Drive Me) Crazy,Britney Spears
5141,12/20/1999,22,Hanginaround,Counting Crows
5142,12/20/1999,23,That's The Way It Is,Celine Dion
5143,12/20/1999,24,Will 2k,Will Smith
5144,12/20/1999,25,Larger Than Life,Backstreet Boys
5145,12/20/1999,26,Hot Boyz,Missy 'Misdemeanor' Elliott
5146,12/20/1999,27,24/7,Kevon Edmonds
5147,12/20/1999,28,He Can't Love You,Jagged Edge
5148,12/20/1999,29,"4,5,6",Sole
5149,12/20/1999,30,Don't Say You Love Me,M2M
5150,12/20/1999,31,The Christmas Song,Christina Aguilera
5151,12/20/1999,32,Dancin',Guy
5152,12/20/1999,33,Stay The Night,IMX
5153,12/20/1999,34,15 Minutes,Marc Nelson
5154,12/20/1999,35,The Rhythm Divine,Enrique Iglesias
5155,12/20/1999,36,You Can Do It,Ice Cube
5156,12/20/1999,37,American Woman,Lenny Kravitz
5157,12/20/1999,38,Caught Out There,Kelis
5158,12/20/1999,39,If You Love Me,Mint Condition
5159,12/20/1999,40,The Rockafeller Skank,Fatboy Slim
5160,12/27/1999,1,Smooth,Santana
5161,12/27/1999,2,I Knew I Loved You,Savage Garden
5162,12/27/1999,3,Back At One,Brian McKnight
5163,12/27/1999,4,I Need To Know,Marc Anthony
5164,12/27/1999,5,My Love Is Your Love,Whitney Houston
5165,12/27/1999,6,What A Girl Wants,Christina Aguilera
5166,12/27/1999,7,I Wanna Love You Forever,Jessica Simpson
5167,12/27/1999,8,Waiting For Tonight,Jennifer Lopez
5168,12/27/1999,9,Then The Morning Comes,Smash Mouth
5169,12/27/1999,10,Bring It All To Me,Blaque
5170,12/27/1999,11,Steal My Sunshine,Len
5171,12/27/1999,12,Meet Virginia,Train
5172,12/27/1999,13,Mambo No.5 (a Little Bit Of...),Lou Bega
5173,12/27/1999,14,Girl On Tv,LFO
5174,12/27/1999,15,Blue (da Ba Dee),Eiffel 65
5175,12/27/1999,16,Unpretty,TLC
5176,12/27/1999,17,That's The Way It Is,Celine Dion
5177,12/27/1999,18,U Know What's Up,Donell Jones
5178,12/27/1999,19,Shake Your Bon-Bon,Ricky Martin
5179,12/27/1999,20,Learn To Fly,Foo Fighters
5180,12/27/1999,21,Hanginaround,Counting Crows
5181,12/27/1999,22,(You Drive Me) Crazy,Britney Spears
5182,12/27/1999,23,Hot Boyz,Missy 'Misdemeanor' Elliott
5183,12/27/1999,24,Will 2k,Will Smith
5184,12/27/1999,25,Where My Girls At?,702
5185,12/27/1999,26,The Rhythm Divine,Enrique Iglesias
5186,12/27/1999,27,Larger Than Life,Backstreet Boys
5187,12/27/1999,28,The Christmas Song,Christina Aguilera
5188,12/27/1999,29,24/7,Kevon Edmonds
5189,12/27/1999,30,He Can't Love You,Jagged Edge
5190,12/27/1999,31,Don't Say You Love Me,M2M
5191,12/27/1999,32,"4,5,6",Sole
5192,12/27/1999,33,Dancin',Guy
5193,12/27/1999,34,Stay The Night,IMX
5194,12/27/1999,35,Caught Out There,Kelis
5195,12/27/1999,36,You Can Do It,Ice Cube
5196,12/27/1999,37,15 Minutes,Marc Nelson
5197,12/27/1999,38,The Rockafeller Skank,Fatboy Slim
5198,12/27/1999,39,Deck The Halls,SheDaisy
5199,12/27/1999,40,If You Love Me,Mint Condition
5200,1/3/2000,1,I Knew I Loved You,Savage Garden
5201,1/3/2000,2,Smooth,Santana
5202,1/3/2000,3,Back At One,Brian McKnight
5203,1/3/2000,4,My Love Is Your Love,Whitney Houston
5204,1/3/2000,5,I Need To Know,Marc Anthony
5205,1/3/2000,6,What A Girl Wants,Christina Aguilera
5206,1/3/2000,7,I Wanna Love You Forever,Jessica Simpson
5207,1/3/2000,8,Waiting For Tonight,Jennifer Lopez
5208,1/3/2000,9,Then The Morning Comes,Smash Mouth
5209,1/3/2000,10,Bring It All To Me,Blaque
5210,1/3/2000,11,Blue (da Ba Dee),Eiffel 65
5211,1/3/2000,12,Steal My Sunshine,Len
5212,1/3/2000,13,Meet Virginia,Train
5213,1/3/2000,14,Mambo No.5 (a Little Bit Of...),Lou Bega
5214,1/3/2000,15,That's The Way It Is,Celine Dion
5215,1/3/2000,16,Unpretty,TLC
5216,1/3/2000,17,Girl On Tv,LFO
5217,1/3/2000,18,U Know What's Up,Donell Jones
5218,1/3/2000,19,Shake Your Bon-Bon,Ricky Martin
5219,1/3/2000,20,Hanginaround,Counting Crows
5220,1/3/2000,21,Learn To Fly,Foo Fighters
5221,1/3/2000,22,Auld Lang Syne,Kenny G
5222,1/3/2000,23,Where My Girls At?,702
5223,1/3/2000,24,The Rhythm Divine,Enrique Iglesias
5224,1/3/2000,25,Hot Boyz,Missy 'Misdemeanor' Elliott
5225,1/3/2000,26,(You Drive Me) Crazy,Britney Spears
5226,1/3/2000,27,Will 2k,Will Smith
5227,1/3/2000,28,Don't Say You Love Me,M2M
5228,1/3/2000,29,The Christmas Song,Christina Aguilera
5229,1/3/2000,30,He Can't Love You,Jagged Edge
5230,1/3/2000,31,24/7,Kevon Edmonds
5231,1/3/2000,32,Larger Than Life,Backstreet Boys
5232,1/3/2000,33,"4,5,6",Sole
5233,1/3/2000,34,Dancin',Guy
5234,1/3/2000,35,Stay The Night,IMX
5235,1/3/2000,36,You Can Do It,Ice Cube
5236,1/3/2000,37,This Gift,98 Degrees
5237,1/3/2000,38,Caught Out There,Kelis
5238,1/3/2000,39,Deck The Halls,SheDaisy
5239,1/3/2000,40,15 Minutes,Marc Nelson
5240,1/10/2000,1,I Knew I Loved You,Savage Garden
5241,1/10/2000,2,Smooth,Santana
5242,1/10/2000,3,What A Girl Wants,Christina Aguilera
5243,1/10/2000,4,Back At One,Brian McKnight
5244,1/10/2000,5,My Love Is Your Love,Whitney Houston
5245,1/10/2000,6,I Need To Know,Marc Anthony
5246,1/10/2000,7,I Wanna Love You Forever,Jessica Simpson
5247,1/10/2000,8,Bring It All To Me,Blaque
5248,1/10/2000,9,Then The Morning Comes,Smash Mouth
5249,1/10/2000,10,Blue (da Ba Dee),Eiffel 65
5250,1/10/2000,11,Waiting For Tonight,Jennifer Lopez
5251,1/10/2000,12,Steal My Sunshine,Len
5252,1/10/2000,13,Meet Virginia,Train
5253,1/10/2000,14,That's The Way It Is,Celine Dion
5254,1/10/2000,15,Girl On Tv,LFO
5255,1/10/2000,16,Mambo No.5 (a Little Bit Of...),Lou Bega
5256,1/10/2000,17,Learn To Fly,Foo Fighters
5257,1/10/2000,18,U Know What's Up,Donell Jones
5258,1/10/2000,19,Unpretty,TLC
5259,1/10/2000,20,Shake Your Bon-Bon,Ricky Martin
5260,1/10/2000,21,Hanginaround,Counting Crows
5261,1/10/2000,22,The Rhythm Divine,Enrique Iglesias
5262,1/10/2000,23,(You Drive Me) Crazy,Britney Spears
5263,1/10/2000,24,Auld Lang Syne,Kenny G
5264,1/10/2000,25,Hot Boyz,Missy 'Misdemeanor' Elliott
5265,1/10/2000,26,Will 2k,Will Smith
5266,1/10/2000,27,Where My Girls At?,702
5267,1/10/2000,28,Take A Picture,Filter
5268,1/10/2000,29,He Can't Love You,Jagged Edge
5269,1/10/2000,30,Don't Say You Love Me,M2M
5270,1/10/2000,31,24/7,Kevon Edmonds
5271,1/10/2000,32,You Can Do It,Ice Cube
5272,1/10/2000,33,"4,5,6",Sole
5273,1/10/2000,34,Larger Than Life,Backstreet Boys
5274,1/10/2000,35,Dancin',Guy
5275,1/10/2000,36,Caught Out There,Kelis
5276,1/10/2000,37,Stay The Night,IMX
5277,1/10/2000,38,One Night Stand,J-Shin
5278,1/10/2000,39,G'd Up,Snoop Dogg Presents Tha Eastsidaz
5279,1/10/2000,40,Big Deal,LeAnn Rimes
5280,1/17/2000,1,I Knew I Loved You,Savage Garden
5281,1/17/2000,2,What A Girl Wants,Christina Aguilera
5282,1/17/2000,3,Smooth,Santana
5283,1/17/2000,4,Back At One,Brian McKnight
5284,1/17/2000,5,My Love Is Your Love,Whitney Houston
5285,1/17/2000,6,I Need To Know,Marc Anthony
5286,1/17/2000,7,I Wanna Love You Forever,Jessica Simpson
5287,1/17/2000,8,Blue (da Ba Dee),Eiffel 65
5288,1/17/2000,9,Bring It All To Me,Blaque
5289,1/17/2000,10,Then The Morning Comes,Smash Mouth
5290,1/17/2000,11,Waiting For Tonight,Jennifer Lopez
5291,1/17/2000,12,Meet Virginia,Train
5292,1/17/2000,13,That's The Way It Is,Celine Dion
5293,1/17/2000,14,Girl On Tv,LFO
5294,1/17/2000,15,Steal My Sunshine,Len
5295,1/17/2000,16,Learn To Fly,Foo Fighters
5296,1/17/2000,17,Hanginaround,Counting Crows
5297,1/17/2000,18,U Know What's Up,Donell Jones
5298,1/17/2000,19,Shake Your Bon-Bon,Ricky Martin
5299,1/17/2000,20,The Rhythm Divine,Enrique Iglesias
5300,1/17/2000,21,Take A Picture,Filter
5301,1/17/2000,22,Unpretty,TLC
5302,1/17/2000,23,Hot Boyz,Missy 'Misdemeanor' Elliott
5303,1/17/2000,24,Mambo No.5 (a Little Bit Of...),Lou Bega
5304,1/17/2000,25,Show Me The Meaning Of Being Lonely,Backstreet Boys
5305,1/17/2000,26,He Can't Love You,Jagged Edge
5306,1/17/2000,27,All The Small Things,Blink 182
5307,1/17/2000,28,(You Drive Me) Crazy,Britney Spears
5308,1/17/2000,29,Auld Lang Syne,Kenny G
5309,1/17/2000,30,Don't Say You Love Me,M2M
5310,1/17/2000,31,24/7,Kevon Edmonds
5311,1/17/2000,32,You Can Do It,Ice Cube
5312,1/17/2000,33,Caught Out There,Kelis
5313,1/17/2000,34,Dancin',Guy
5314,1/17/2000,35,One Night Stand,J-Shin
5315,1/17/2000,36,"4,5,6",Sole
5316,1/17/2000,37,Will 2k,Will Smith
5317,1/17/2000,38,G'd Up,Snoop Dogg Presents Tha Eastsidaz
5318,1/17/2000,39,It Feels So Good,Sonique
5319,1/17/2000,40,Stay The Night,IMX
5320,1/24/2000,1,I Knew I Loved You,Savage Garden
5321,1/24/2000,2,What A Girl Wants,Christina Aguilera
5322,1/24/2000,3,Smooth,Santana
5323,1/24/2000,4,Blue (da Ba Dee),Eiffel 65
5324,1/24/2000,5,My Love Is Your Love,Whitney Houston
5325,1/24/2000,6,Back At One,Brian McKnight
5326,1/24/2000,7,I Need To Know,Marc Anthony
5327,1/24/2000,8,I Wanna Love You Forever,Jessica Simpson
5328,1/24/2000,9,Bring It All To Me,Blaque
5329,1/24/2000,10,Then The Morning Comes,Smash Mouth
5330,1/24/2000,11,That's The Way It Is,Celine Dion
5331,1/24/2000,12,Show Me The Meaning Of Being Lonely,Backstreet Boys
5332,1/24/2000,13,Waiting For Tonight,Jennifer Lopez
5333,1/24/2000,14,Meet Virginia,Train
5334,1/24/2000,15,Girl On Tv,LFO
5335,1/24/2000,16,Learn To Fly,Foo Fighters
5336,1/24/2000,17,Take A Picture,Filter
5337,1/24/2000,18,Hot Boyz,Missy 'Misdemeanor' Elliott
5338,1/24/2000,19,Hanginaround,Counting Crows
5339,1/24/2000,20,The Rhythm Divine,Enrique Iglesias
5340,1/24/2000,21,Steal My Sunshine,Len
5341,1/24/2000,22,All The Small Things,Blink 182
5342,1/24/2000,23,U Know What's Up,Donell Jones
5343,1/24/2000,24,He Can't Love You,Jagged Edge
5344,1/24/2000,25,Shake Your Bon-Bon,Ricky Martin
5345,1/24/2000,26,You Can Do It,Ice Cube
5346,1/24/2000,27,Falls Apart,Sugar Ray
5347,1/24/2000,28,One Night Stand,J-Shin
5348,1/24/2000,29,24/7,Kevon Edmonds
5349,1/24/2000,30,I Like It,Sammie
