,week,position,song,artist
120,7/28/1997,1,Bitch,Meredith Brooks
121,7/28/1997,2,Do You Know,Robyn
122,7/28/1997,3,Sunny Came Home,Shawn Colvin
123,7/28/1997,4,Quit Playing Games (with My Heart),Backstreet Boys
124,7/28/1997,5,Semi-charmed Life,Third Eye Blind
125,7/28/1997,6,Return Of The Mack,Mark Morrison
126,7/28/1997,7,Mmm Bop,Hanson
127,7/28/1997,8,How Bizarre,Omc
128,7/28/1997,9,The Freshmen,Verve Pipe
129,7/28/1997,10,Say You'll Be There,Spice Girls
130,7/28/1997,11,All For You,Sister Hazel
131,7/28/1997,12,Hard To Say I'm Sorry,Az Yet
132,7/28/1997,13,Gotham City,R. Kelly
133,7/28/1997,14,Whatever,En Vogue
134,7/28/1997,15,I'll Be Missing You,Puff Daddy
135,7/28/1997,16,I Want You,Savage Garden
136,7/28/1997,17,A Change Would Do You Good,Sheryl Crow
137,7/28/1997,18,For You I Will,Monica
138,7/28/1997,19,One Headlight,Wallflowers
139,7/28/1997,20,Barely Breathing,Duncan Sheik
140,7/28/1997,21,"Mo Money,mo Problems",Notorious B.I.G.
141,7/28/1997,22,Men In Black,Will Smith
142,7/28/1997,23,2 Become 1,Spice Girls
143,7/28/1997,24,You Were Meant For Me,Jewel
144,7/28/1997,25,Your Woman,White Town
145,7/28/1997,26,To The Moon And Back,Savage Garden
146,7/28/1997,27,Look Into My Eyes,Bone Thugs-N-Harmony
148,7/28/1997,29,Where Have All The Cowboys Gone?,Paula Cole
149,7/28/1997,30,How Do I Live,LeAnn Rimes
150,7/28/1997,31,G.h.e.t.t.o.u.t.,Changing Faces
151,7/28/1997,32,It's Your Love,Tim McGraw
152,7/28/1997,33,Smile,Scarface
153,7/28/1997,34,C U When U Get There,Coolio
154,7/28/1997,35,Crash Into Me,Dave Matthews Band
155,7/28/1997,36,Gimme Some Love,Gina G
156,7/28/1997,37,How Do I Live,Trisha Yearwood
157,7/28/1997,38,I Belong To You,Rome
158,7/28/1997,39,Don't Leave Me,Blackstreet
159,7/28/1997,40,Go The Distance,Michael Bolton
160,8/4/1997,1,Bitch,Meredith Brooks
161,8/4/1997,2,Do You Know,Robyn
162,8/4/1997,3,Quit Playing Games (with My Heart),Backstreet Boys
163,8/4/1997,4,Semi-charmed Life,Third Eye Blind
164,8/4/1997,5,Sunny Came Home,Shawn Colvin
165,8/4/1997,6,How Bizarre,Omc
166,8/4/1997,7,Return Of The Mack,Mark Morrison
167,8/4/1997,8,The Freshmen,Verve Pipe
168,8/4/1997,9,All For You,Sister Hazel
169,8/4/1997,10,Mmm Bop,Hanson
170,8/4/1997,11,I'll Be Missing You,Puff Daddy
171,8/4/1997,12,Say You'll Be There,Spice Girls
172,8/4/1997,13,Hard To Say I'm Sorry,Az Yet
173,8/4/1997,14,Gotham City,R. Kelly
174,8/4/1997,15,Whatever,En Vogue
175,8/4/1997,16,Men In Black,Will Smith
176,8/4/1997,17,2 Become 1,Spice Girls
177,8/4/1997,18,A Change Would Do You Good,Sheryl Crow
178,8/4/1997,19,One Headlight,Wallflowers
179,8/4/1997,20,"Mo Money,mo Problems",Notorious B.I.G.
180,8/4/1997,21,I Want You,Savage Garden
182,8/4/1997,23,Barely Breathing,Duncan Sheik
183,8/4/1997,24,To The Moon And Back,Savage Garden
184,8/4/1997,25,For You I Will,Monica
185,8/4/1997,26,Where's The Love,Hanson
186,8/4/1997,27,Not Tonight,Lil' Kim
187,8/4/1997,28,How Do I Live,LeAnn Rimes
188,8/4/1997,29,Never Make A Promise,Dru Hill
189,8/4/1997,30,Look Into My Eyes,Bone Thugs-N-Harmony
190,8/4/1997,31,Crash Into Me,Dave Matthews Band
191,8/4/1997,32,C U When U Get There,Coolio
192,8/4/1997,33,Your Woman,White Town
