chart_order,week,position,artist,song,combo
78,7/21/97,32,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
79,7/21/97,33,Coolio,C U When U Get There,Coolio: C U When U Get There
80,7/21/97,36,Trisha Yearwood,How Do I Live,Trisha Yearwood: How Do I Live
81,7/21/97,38,Blessid Union Of Souls,I Wanna Be There,Blessid Union Of Souls: I Wanna Be There
82,7/21/97,39,Michael Bolton,Go The Distance,Michael Bolton: Go The Distance
83,7/21/97,40,Dave Matthews Band,Crash Into Me,Dave Matthews Band: Crash Into Me
84,7/28/97,1,Meredith Brooks,Bitch,Meredith Brooks: Bitch
85,7/28/97,2,Robyn,Do You Know,Robyn: Do You Know
86,7/28/97,3,Shawn Colvin,Sunny Came Home,Shawn Colvin: Sunny Came Home
87,7/28/97,4,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
88,7/28/97,5,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
89,7/28/97,6,Mark Morrison,Return Of The Mack,Mark Morrison: Return Of The Mack
90,7/28/97,7,Hanson,Mmm Bop,Hanson: Mmm Bop
91,7/28/97,8,Omc,How Bizarre,Omc: How Bizarre
92,7/28/97,9,Verve Pipe,The Freshmen,Verve Pipe: The Freshmen
93,7/28/97,10,Spice Girls,Say You'll Be There,Spice Girls: Say You'll Be There
94,7/28/97,11,Sister Hazel,All For You,Sister Hazel: All For You
95,7/28/97,12,Az Yet,Hard To Say I'm Sorry,Az Yet: Hard To Say I'm Sorry
96,7/28/97,14,En Vogue,Whatever,En Vogue: Whatever
97,7/28/97,16,Savage Garden,I Want You,Savage Garden: I Want You
98,7/28/97,18,Monica,For You I Will,Monica: For You I Will
99,7/28/97,19,Wallflowers,One Headlight,Wallflowers: One Headlight
100,7/28/97,20,Duncan Sheik,Barely Breathing,Duncan Sheik: Barely Breathing
101,7/28/97,23,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
102,7/28/97,25,White Town,Your Woman,White Town: Your Woman
103,7/28/97,29,Paula Cole,Where Have All The Cowboys Gone?,Paula Cole: Where Have All The Cowboys Gone?
104,7/28/97,30,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
105,7/28/97,31,Changing Faces,G.h.e.t.t.o.u.t.,Changing Faces: G.h.e.t.t.o.u.t.
106,7/28/97,33,Scarface,Smile,Scarface: Smile
107,7/28/97,34,Coolio,C U When U Get There,Coolio: C U When U Get There
108,7/28/97,35,Dave Matthews Band,Crash Into Me,Dave Matthews Band: Crash Into Me
109,7/28/97,37,Trisha Yearwood,How Do I Live,Trisha Yearwood: How Do I Live
110,7/28/97,39,Blackstreet,Don't Leave Me,Blackstreet: Don't Leave Me
111,7/28/97,40,Michael Bolton,Go The Distance,Michael Bolton: Go The Distance
112,8/4/97,1,Meredith Brooks,Bitch,Meredith Brooks: Bitch
113,8/4/97,2,Robyn,Do You Know,Robyn: Do You Know
114,8/4/97,3,Backstreet Boys,Quit Playing Games (with My Heart),Backstreet Boys: Quit Playing Games (with My Heart)
115,8/4/97,4,Third Eye Blind,Semi-charmed Life,Third Eye Blind: Semi-charmed Life
116,8/4/97,5,Shawn Colvin,Sunny Came Home,Shawn Colvin: Sunny Came Home
117,8/4/97,6,Omc,How Bizarre,Omc: How Bizarre
118,8/4/97,7,Mark Morrison,Return Of The Mack,Mark Morrison: Return Of The Mack
119,8/4/97,8,Verve Pipe,The Freshmen,Verve Pipe: The Freshmen
120,8/4/97,9,Sister Hazel,All For You,Sister Hazel: All For You
121,8/4/97,10,Hanson,Mmm Bop,Hanson: Mmm Bop
122,8/4/97,12,Spice Girls,Say You'll Be There,Spice Girls: Say You'll Be There
123,8/4/97,13,Az Yet,Hard To Say I'm Sorry,Az Yet: Hard To Say I'm Sorry
124,8/4/97,15,En Vogue,Whatever,En Vogue: Whatever
125,8/4/97,17,Spice Girls,2 Become 1,Spice Girls: 2 Become 1
126,8/4/97,19,Wallflowers,One Headlight,Wallflowers: One Headlight
127,8/4/97,21,Savage Garden,I Want You,Savage Garden: I Want You
128,8/4/97,23,Duncan Sheik,Barely Breathing,Duncan Sheik: Barely Breathing
129,8/4/97,25,Monica,For You I Will,Monica: For You I Will
130,8/4/97,26,Hanson,Where's The Love,Hanson: Where's The Love
131,8/4/97,27,Lil' Kim,Not Tonight,Lil' Kim: Not Tonight
132,8/4/97,28,LeAnn Rimes,How Do I Live,LeAnn Rimes: How Do I Live
133,8/4/97,31,Dave Matthews Band,Crash Into Me,Dave Matthews Band: Crash Into Me
134,8/4/97,32,Coolio,C U When U Get There,Coolio: C U When U Get There
135,8/4/97,33,White Town,Your Woman,White Town: Your Woman
136,8/4/97,35,Changing Faces,G.h.e.t.t.o.u.t.,Changing Faces: G.h.e.t.t.o.u.t.
137,8/4/97,37,Wallflowers,The Difference,Wallflowers: The Difference
138,8/11/97,1,Meredith Brooks,Bitch,Meredith Brooks: Bitch
