chart_order,week,position,song,artist,combo_str
3674,2000-05-27,19,He Wasn't Man Enough,Toni Braxton,Toni BraxtonHe Wasn't Man Enough
3675,2000-05-27,20,Crash And Burn,Savage Garden,Savage GardenCrash And Burn
3676,2000-05-27,21,Amazed,Lonestar,LonestarAmazed
3677,2000-05-27,24,Only God Knows Why,Kid Rock,Kid RockOnly God Knows Why
3678,2000-05-27,25,Try Again,Aaliyah,AaliyahTry Again
3679,2000-05-27,26,Better Off Alone,Alice Deejay,Alice DeejayBetter Off Alone
3680,2000-05-27,27,Graduation (friends Forever),Vitamin C,Vitamin CGraduation (friends Forever)
3681,2000-05-27,28,The Real Slim Shady,Eminem,EminemThe Real Slim Shady
3682,2000-05-27,29,It's Gonna Be Me,NSync,NSyncIt's Gonna Be Me
3683,2000-05-27,31,Never Let You Go,Third Eye Blind,Third Eye BlindNever Let You Go
3684,2000-05-27,32,Mirror Mirror,M2M,M2MMirror Mirror
3685,2000-05-27,37,Get It On Tonite,Montell Jordan,Montell JordanGet It On Tonite
3686,2000-05-27,38,Separated,Avant,AvantSeparated
3687,2000-05-27,39,Monica,Before Dark,Before DarkMonica
3688,2000-05-27,40,This Time Around,Hanson,HansonThis Time Around
3689,2000-06-03,1,Oops!...I Did It Again,Britney Spears,Britney SpearsOops!...I Did It Again
3690,2000-06-03,2,I Try,Macy Gray,Macy GrayI Try
3691,2000-06-03,3,Everything You Want,Vertical Horizon,Vertical HorizonEverything You Want
3692,2000-06-03,4,Maria Maria,Santana,SantanaMaria Maria
3693,2000-06-03,5,Breathe,Faith Hill,Faith HillBreathe
3694,2000-06-03,7,Say My Name,Destiny's Child,Destiny's ChildSay My Name
3695,2000-06-03,9,Thong Song,Sisqo,SisqoThong Song
3696,2000-06-03,14,Bye Bye Bye,NSync,NSyncBye Bye Bye
3697,2000-06-03,15,Back Here,BBmak,BBmakBack Here
3698,2000-06-03,16,Otherside,Red Hot Chili Peppers,Red Hot Chili PeppersOtherside
3699,2000-06-03,17,It Feels So Good,Sonique,SoniqueIt Feels So Good
3700,2000-06-03,18,It's Gonna Be Me,NSync,NSyncIt's Gonna Be Me
3701,2000-06-03,19,Swear It Again,Westlife,WestlifeSwear It Again
3702,2000-06-03,20,The Real Slim Shady,Eminem,EminemThe Real Slim Shady
3703,2000-06-03,21,He Wasn't Man Enough,Toni Braxton,Toni BraxtonHe Wasn't Man Enough
3704,2000-06-03,22,Try Again,Aaliyah,AaliyahTry Again
3705,2000-06-03,23,Crash And Burn,Savage Garden,Savage GardenCrash And Burn
3706,2000-06-03,26,Better Off Alone,Alice Deejay,Alice DeejayBetter Off Alone
3707,2000-06-03,27,Graduation (friends Forever),Vitamin C,Vitamin CGraduation (friends Forever)
3708,2000-06-03,28,Only God Knows Why,Kid Rock,Kid RockOnly God Knows Why
3709,2000-06-03,31,Mirror Mirror,M2M,M2MMirror Mirror
3710,2000-06-03,35,Absolutely (story Of A Girl),Nine Days,Nine DaysAbsolutely (story Of A Girl)
3711,2000-06-03,36,Monica,Before Dark,Before DarkMonica
3712,2000-06-03,37,Amazed,Lonestar,LonestarAmazed
3713,2000-06-03,38,Separated,Avant,AvantSeparated
3714,2000-06-03,40,Yes!,Chad Brock,Chad BrockYes!
3715,2000-06-10,1,Oops!...I Did It Again,Britney Spears,Britney SpearsOops!...I Did It Again
3716,2000-06-10,2,I Try,Macy Gray,Macy GrayI Try
3717,2000-06-10,3,Everything You Want,Vertical Horizon,Vertical HorizonEverything You Want
3718,2000-06-10,4,Maria Maria,Santana,SantanaMaria Maria
3719,2000-06-10,7,Thong Song,Sisqo,SisqoThong Song
3720,2000-06-10,8,Breathe,Faith Hill,Faith HillBreathe
3721,2000-06-10,9,Say My Name,Destiny's Child,Destiny's ChildSay My Name
3722,2000-06-10,14,Back Here,BBmak,BBmakBack Here
3723,2000-06-10,15,It's Gonna Be Me,NSync,NSyncIt's Gonna Be Me
3724,2000-06-10,16,Otherside,Red Hot Chili Peppers,Red Hot Chili PeppersOtherside
3725,2000-06-10,17,Swear It Again,Westlife,WestlifeSwear It Again
3726,2000-06-10,18,The Real Slim Shady,Eminem,EminemThe Real Slim Shady
3727,2000-06-10,19,He Wasn't Man Enough,Toni Braxton,Toni BraxtonHe Wasn't Man Enough
3728,2000-06-10,21,Bye Bye Bye,NSync,NSyncBye Bye Bye
3729,2000-06-10,22,Try Again,Aaliyah,AaliyahTry Again
3730,2000-06-10,23,It Feels So Good,Sonique,SoniqueIt Feels So Good
3731,2000-06-10,25,Crash And Burn,Savage Garden,Savage GardenCrash And Burn
3732,2000-06-10,26,Graduation (friends Forever),Vitamin C,Vitamin CGraduation (friends Forever)
3733,2000-06-10,28,Absolutely (story Of A Girl),Nine Days,Nine DaysAbsolutely (story Of A Girl)
3734,2000-06-10,30,Mirror Mirror,M2M,M2MMirror Mirror
3735,2000-06-10,32,Better Off Alone,Alice Deejay,Alice DeejayBetter Off Alone
3736,2000-06-10,33,Monica,Before Dark,Before DarkMonica
3737,2000-06-10,35,Only God Knows Why,Kid Rock,Kid RockOnly God Knows Why
3738,2000-06-10,36,Yes!,Chad Brock,Chad BrockYes!
3739,2000-06-10,38,Separated,Avant,AvantSeparated
3740,2000-06-10,39,Purest Of Pain (a Puro Dolor),Son By Four,Son By FourPurest Of Pain (a Puro Dolor)
3741,2000-06-10,40,I Don't Wanna Kiss You Goodnight,LFO,LFOI Don't Wanna Kiss You Goodnight
3742,2000-06-17,1,Oops!...I Did It Again,Britney Spears,Britney SpearsOops!...I Did It Again
3743,2000-06-17,3,Everything You Want,Vertical Horizon,Vertical HorizonEverything You Want
3744,2000-06-17,4,It's Gonna Be Me,NSync,NSyncIt's Gonna Be Me
3745,2000-06-17,6,I Try,Macy Gray,Macy GrayI Try
3746,2000-06-17,7,Maria Maria,Santana,SantanaMaria Maria
3747,2000-06-17,8,Breathe,Faith Hill,Faith HillBreathe
3748,2000-06-17,9,Thong Song,Sisqo,SisqoThong Song
3749,2000-06-17,12,Say My Name,Destiny's Child,Destiny's ChildSay My Name
3750,2000-06-17,14,Back Here,BBmak,BBmakBack Here
3751,2000-06-17,16,Try Again,Aaliyah,AaliyahTry Again
3752,2000-06-17,17,The Real Slim Shady,Eminem,EminemThe Real Slim Shady
3753,2000-06-17,19,Swear It Again,Westlife,WestlifeSwear It Again
3754,2000-06-17,20,He Wasn't Man Enough,Toni Braxton,Toni BraxtonHe Wasn't Man Enough
3755,2000-06-17,22,Otherside,Red Hot Chili Peppers,Red Hot Chili PeppersOtherside
3756,2000-06-17,24,Absolutely (story Of A Girl),Nine Days,Nine DaysAbsolutely (story Of A Girl)
3757,2000-06-17,25,Graduation (friends Forever),Vitamin C,Vitamin CGraduation (friends Forever)
3758,2000-06-17,27,Better Off Alone,Alice Deejay,Alice DeejayBetter Off Alone
3759,2000-06-17,28,Crash And Burn,Savage Garden,Savage GardenCrash And Burn
3760,2000-06-17,29,Mirror Mirror,M2M,M2MMirror Mirror
3761,2000-06-17,31,Monica,Before Dark,Before DarkMonica
3762,2000-06-17,34,Bye Bye Bye,NSync,NSyncBye Bye Bye
3763,2000-06-17,35,Purest Of Pain (a Puro Dolor),Son By Four,Son By FourPurest Of Pain (a Puro Dolor)
3764,2000-06-17,36,Separated,Avant,AvantSeparated
3765,2000-06-17,37,Only God Knows Why,Kid Rock,Kid RockOnly God Knows Why
3766,2000-06-17,38,Yes!,Chad Brock,Chad BrockYes!
3767,2000-06-17,40,I Wanna Be With You,Mandy Moore,Mandy MooreI Wanna Be With You
3768,2000-06-24,1,It's Gonna Be Me,NSync,NSyncIt's Gonna Be Me
3769,2000-06-24,2,Oops!...I Did It Again,Britney Spears,Britney SpearsOops!...I Did It Again
3770,2000-06-24,5,Everything You Want,Vertical Horizon,Vertical HorizonEverything You Want
3771,2000-06-24,9,I Try,Macy Gray,Macy GrayI Try
3772,2000-06-24,10,Maria Maria,Santana,SantanaMaria Maria
3773,2000-06-24,11,Back Here,BBmak,BBmakBack Here
3774,2000-06-24,12,Thong Song,Sisqo,SisqoThong Song
3775,2000-06-24,13,Try Again,Aaliyah,AaliyahTry Again
3776,2000-06-24,15,Breathe,Faith Hill,Faith HillBreathe
3777,2000-06-24,16,The Real Slim Shady,Eminem,EminemThe Real Slim Shady
3778,2000-06-24,17,He Wasn't Man Enough,Toni Braxton,Toni BraxtonHe Wasn't Man Enough
3779,2000-06-24,18,Absolutely (story Of A Girl),Nine Days,Nine DaysAbsolutely (story Of A Girl)
3780,2000-06-24,20,Swear It Again,Westlife,WestlifeSwear It Again
3781,2000-06-24,21,Say My Name,Destiny's Child,Destiny's ChildSay My Name
3782,2000-06-24,24,Otherside,Red Hot Chili Peppers,Red Hot Chili PeppersOtherside
3783,2000-06-24,26,Graduation (friends Forever),Vitamin C,Vitamin CGraduation (friends Forever)
3784,2000-06-24,27,Mirror Mirror,M2M,M2MMirror Mirror
3785,2000-06-24,28,Crash And Burn,Savage Garden,Savage GardenCrash And Burn
3786,2000-06-24,29,Desert Rose,Sting,StingDesert Rose
3787,2000-06-24,31,Monica,Before Dark,Before DarkMonica
3788,2000-06-24,34,Purest Of Pain (a Puro Dolor),Son By Four,Son By FourPurest Of Pain (a Puro Dolor)
3789,2000-06-24,35,I Wanna Be With You,Mandy Moore,Mandy MooreI Wanna Be With You
3790,2000-06-24,36,Better Off Alone,Alice Deejay,Alice DeejayBetter Off Alone
3791,2000-06-24,37,Separated,Avant,AvantSeparated
3792,2000-06-24,38,One Voice,Billy Gilman,Billy GilmanOne Voice
3793,2000-06-24,40,Yes!,Chad Brock,Chad BrockYes!
3794,2000-07-01,1,It's Gonna Be Me,NSync,NSyncIt's Gonna Be Me
3795,2000-07-01,4,Oops!...I Did It Again,Britney Spears,Britney SpearsOops!...I Did It Again
3796,2000-07-01,8,Everything You Want,Vertical Horizon,Vertical HorizonEverything You Want
3797,2000-07-01,9,Try Again,Aaliyah,AaliyahTry Again
3798,2000-07-01,11,Back Here,BBmak,BBmakBack Here
3799,2000-07-01,12,The Real Slim Shady,Eminem,EminemThe Real Slim Shady
3800,2000-07-01,13,I Try,Macy Gray,Macy GrayI Try
3801,2000-07-01,14,He Wasn't Man Enough,Toni Braxton,Toni BraxtonHe Wasn't Man Enough
3802,2000-07-01,15,Absolutely (story Of A Girl),Nine Days,Nine DaysAbsolutely (story Of A Girl)
3803,2000-07-01,16,Swear It Again,Westlife,WestlifeSwear It Again
3804,2000-07-01,17,Breathe,Faith Hill,Faith HillBreathe
3805,2000-07-01,19,Thong Song,Sisqo,SisqoThong Song
3806,2000-07-01,20,Say My Name,Destiny's Child,Destiny's ChildSay My Name
3807,2000-07-01,21,Maria Maria,Santana,SantanaMaria Maria
3808,2000-07-01,24,Desert Rose,Sting,StingDesert Rose
3809,2000-07-01,25,Otherside,Red Hot Chili Peppers,Red Hot Chili PeppersOtherside
3810,2000-07-01,28,I Wanna Be With You,Mandy Moore,Mandy MooreI Wanna Be With You
3811,2000-07-01,29,Mirror Mirror,M2M,M2MMirror Mirror
3812,2000-07-01,30,"Jumpin',jumpin'",Destiny's Child,"Destiny's ChildJumpin',jumpin'"
3813,2000-07-01,31,No More,Ruff Endz,Ruff EndzNo More
3814,2000-07-01,33,One Voice,Billy Gilman,Billy GilmanOne Voice
3815,2000-07-01,34,Monica,Before Dark,Before DarkMonica
3816,2000-07-01,35,Separated,Avant,AvantSeparated
3817,2000-07-01,36,Purest Of Pain (a Puro Dolor),Son By Four,Son By FourPurest Of Pain (a Puro Dolor)
3818,2000-07-01,37,I Think I'm In Love With You,Jessica Simpson,Jessica SimpsonI Think I'm In Love With You
3819,2000-07-01,38,Dancing Queen,A*Teens,A*TeensDancing Queen
3820,2000-07-01,40,I Think God Can Explain,Splender,SplenderI Think God Can Explain
3821,2000-07-08,1,It's Gonna Be Me,NSync,NSyncIt's Gonna Be Me
3822,2000-07-08,2,Everything You Want,Vertical Horizon,Vertical HorizonEverything You Want
3823,2000-07-08,8,Try Again,Aaliyah,AaliyahTry Again
3824,2000-07-08,9,Back Here,BBmak,BBmakBack Here
3825,2000-07-08,11,Oops!...I Did It Again,Britney Spears,Britney SpearsOops!...I Did It Again
3826,2000-07-08,12,The Real Slim Shady,Eminem,EminemThe Real Slim Shady
3827,2000-07-08,13,Absolutely (story Of A Girl),Nine Days,Nine DaysAbsolutely (story Of A Girl)
3828,2000-07-08,14,I Try,Macy Gray,Macy GrayI Try
3829,2000-07-08,15,He Wasn't Man Enough,Toni Braxton,Toni BraxtonHe Wasn't Man Enough
3830,2000-07-08,16,Swear It Again,Westlife,WestlifeSwear It Again
3831,2000-07-08,17,Breathe,Faith Hill,Faith HillBreathe
3832,2000-07-08,19,Thong Song,Sisqo,SisqoThong Song
3833,2000-07-08,20,Desert Rose,Sting,StingDesert Rose
3834,2000-07-08,22,Maria Maria,Santana,SantanaMaria Maria
3835,2000-07-08,23,Say My Name,Destiny's Child,Destiny's ChildSay My Name
3836,2000-07-08,26,"Jumpin',jumpin'",Destiny's Child,"Destiny's ChildJumpin',jumpin'"
3837,2000-07-08,27,Otherside,Red Hot Chili Peppers,Red Hot Chili PeppersOtherside
3838,2000-07-08,28,I Wanna Be With You,Mandy Moore,Mandy MooreI Wanna Be With You
3839,2000-07-08,30,No More,Ruff Endz,Ruff EndzNo More
3840,2000-07-08,31,Mirror Mirror,M2M,M2MMirror Mirror
3841,2000-07-08,32,I Think I'm In Love With You,Jessica Simpson,Jessica SimpsonI Think I'm In Love With You
3842,2000-07-08,33,One Voice,Billy Gilman,Billy GilmanOne Voice
3843,2000-07-08,34,Purest Of Pain (a Puro Dolor),Son By Four,Son By FourPurest Of Pain (a Puro Dolor)
3844,2000-07-08,36,Let's Get Married,Jagged Edge,Jagged EdgeLet's Get Married
3845,2000-07-08,37,Dancing Queen,A*Teens,A*TeensDancing Queen
3846,2000-07-08,38,Monica,Before Dark,Before DarkMonica
3847,2000-07-08,39,I Think God Can Explain,Splender,SplenderI Think God Can Explain
3848,2000-07-15,1,It's Gonna Be Me,NSync,NSyncIt's Gonna Be Me
3849,2000-07-15,3,Everything You Want,Vertical Horizon,Vertical HorizonEverything You Want
3850,2000-07-15,7,Try Again,Aaliyah,AaliyahTry Again
3851,2000-07-15,8,Back Here,BBmak,BBmakBack Here
3852,2000-07-15,10,Absolutely (story Of A Girl),Nine Days,Nine DaysAbsolutely (story Of A Girl)
3853,2000-07-15,12,The Real Slim Shady,Eminem,EminemThe Real Slim Shady
3854,2000-07-15,13,Oops!...I Did It Again,Britney Spears,Britney SpearsOops!...I Did It Again
3855,2000-07-15,14,He Wasn't Man Enough,Toni Braxton,Toni BraxtonHe Wasn't Man Enough
3856,2000-07-15,15,I Try,Macy Gray,Macy GrayI Try
3857,2000-07-15,16,Desert Rose,Sting,StingDesert Rose
3858,2000-07-15,18,Swear It Again,Westlife,WestlifeSwear It Again
3859,2000-07-15,19,I Think I'm In Love With You,Jessica Simpson,Jessica SimpsonI Think I'm In Love With You
3860,2000-07-15,20,"Jumpin',jumpin'",Destiny's Child,"Destiny's ChildJumpin',jumpin'"
3861,2000-07-15,21,Let's Get Married,Jagged Edge,Jagged EdgeLet's Get Married
3862,2000-07-15,23,Thong Song,Sisqo,SisqoThong Song
3863,2000-07-15,24,I Wanna Be With You,Mandy Moore,Mandy MooreI Wanna Be With You
3864,2000-07-15,25,Breathe,Faith Hill,Faith HillBreathe
3865,2000-07-15,28,No More,Ruff Endz,Ruff EndzNo More
3866,2000-07-15,30,Otherside,Red Hot Chili Peppers,Red Hot Chili PeppersOtherside
3867,2000-07-15,31,One Voice,Billy Gilman,Billy GilmanOne Voice
3868,2000-07-15,32,Mirror Mirror,M2M,M2MMirror Mirror
3869,2000-07-15,33,I Think God Can Explain,Splender,SplenderI Think God Can Explain
3870,2000-07-15,35,Purest Of Pain (a Puro Dolor),Son By Four,Son By FourPurest Of Pain (a Puro Dolor)
3871,2000-07-15,37,Dancing Queen,A*Teens,A*TeensDancing Queen
3872,2000-07-15,40,I Will Love Again,Lara Fabian,Lara FabianI Will Love Again
3873,2000-07-22,2,It's Gonna Be Me,NSync,NSyncIt's Gonna Be Me
3874,2000-07-22,3,Everything You Want,Vertical Horizon,Vertical HorizonEverything You Want
3875,2000-07-22,5,Absolutely (story Of A Girl),Nine Days,Nine DaysAbsolutely (story Of A Girl)
3876,2000-07-22,6,Back Here,BBmak,BBmakBack Here
3877,2000-07-22,8,Try Again,Aaliyah,AaliyahTry Again
3878,2000-07-22,11,He Wasn't Man Enough,Toni Braxton,Toni BraxtonHe Wasn't Man Enough
3879,2000-07-22,12,The Real Slim Shady,Eminem,EminemThe Real Slim Shady
3880,2000-07-22,13,Desert Rose,Sting,StingDesert Rose
3881,2000-07-22,14,"Jumpin',jumpin'",Destiny's Child,"Destiny's ChildJumpin',jumpin'"
3882,2000-07-22,16,I Think I'm In Love With You,Jessica Simpson,Jessica SimpsonI Think I'm In Love With You
3883,2000-07-22,17,I Try,Macy Gray,Macy GrayI Try
3884,2000-07-22,18,Let's Get Married,Jagged Edge,Jagged EdgeLet's Get Married
3885,2000-07-22,19,Kryptonite,3 Doors Down,3 Doors DownKryptonite
3886,2000-07-22,20,Oops!...I Did It Again,Britney Spears,Britney SpearsOops!...I Did It Again
3887,2000-07-22,21,Swear It Again,Westlife,WestlifeSwear It Again
3888,2000-07-22,22,I Wanna Be With You,Mandy Moore,Mandy MooreI Wanna Be With You
3889,2000-07-22,26,No More,Ruff Endz,Ruff EndzNo More
3890,2000-07-22,28,Breathe,Faith Hill,Faith HillBreathe
3891,2000-07-22,31,I Will Love Again,Lara Fabian,Lara FabianI Will Love Again
3892,2000-07-22,32,I Think God Can Explain,Splender,SplenderI Think God Can Explain
3893,2000-07-22,34,Callin' Me,Lil' Zane,Lil' ZaneCallin' Me
3894,2000-07-22,35,One Voice,Billy Gilman,Billy GilmanOne Voice
3895,2000-07-22,36,Dancing Queen,A*Teens,A*TeensDancing Queen
3896,2000-07-22,38,Mirror Mirror,M2M,M2MMirror Mirror
3897,2000-07-22,39,Thong Song,Sisqo,SisqoThong Song
3898,2000-07-22,40,Purest Of Pain (a Puro Dolor),Son By Four,Son By FourPurest Of Pain (a Puro Dolor)
3899,2000-07-29,2,It's Gonna Be Me,NSync,NSyncIt's Gonna Be Me
3900,2000-07-29,3,Everything You Want,Vertical Horizon,Vertical HorizonEverything You Want
3901,2000-07-29,4,Absolutely (story Of A Girl),Nine Days,Nine DaysAbsolutely (story Of A Girl)
3902,2000-07-29,5,Try Again,Aaliyah,AaliyahTry Again
3903,2000-07-29,6,"Jumpin',jumpin'",Destiny's Child,"Destiny's ChildJumpin',jumpin'"
3904,2000-07-29,8,Back Here,BBmak,BBmakBack Here
3905,2000-07-29,11,I Think I'm In Love With You,Jessica Simpson,Jessica SimpsonI Think I'm In Love With You
3906,2000-07-29,12,He Wasn't Man Enough,Toni Braxton,Toni BraxtonHe Wasn't Man Enough
3907,2000-07-29,13,Desert Rose,Sting,StingDesert Rose
3908,2000-07-29,15,Kryptonite,3 Doors Down,3 Doors DownKryptonite
3909,2000-07-29,17,I Wanna Be With You,Mandy Moore,Mandy MooreI Wanna Be With You
3910,2000-07-29,18,Let's Get Married,Jagged Edge,Jagged EdgeLet's Get Married
3911,2000-07-29,20,I Try,Macy Gray,Macy GrayI Try
3912,2000-07-29,21,The Real Slim Shady,Eminem,EminemThe Real Slim Shady
3913,2000-07-29,22,Oops!...I Did It Again,Britney Spears,Britney SpearsOops!...I Did It Again
3914,2000-07-29,23,No More,Ruff Endz,Ruff EndzNo More
3915,2000-07-29,26,I Need You,LeAnn Rimes,LeAnn RimesI Need You
3916,2000-07-29,27,Wonderful,Everclear,EverclearWonderful
3917,2000-07-29,28,Swear It Again,Westlife,WestlifeSwear It Again
3918,2000-07-29,32,One Voice,Billy Gilman,Billy GilmanOne Voice
3919,2000-07-29,34,West Side Story,LFO,LFOWest Side Story
3920,2000-07-29,35,I Will Love Again,Lara Fabian,Lara FabianI Will Love Again
3921,2000-07-29,36,I Think God Can Explain,Splender,SplenderI Think God Can Explain
3922,2000-07-29,37,Callin' Me,Lil' Zane,Lil' ZaneCallin' Me
3923,2000-07-29,38,Mirror Mirror,M2M,M2MMirror Mirror
3924,2000-07-29,39,Change Your Mind,Sister Hazel,Sister HazelChange Your Mind
3925,2000-07-29,40,Daily,TQ,TQDaily
3926,2000-08-05,2,Absolutely (story Of A Girl),Nine Days,Nine DaysAbsolutely (story Of A Girl)
3927,2000-08-05,3,It's Gonna Be Me,NSync,NSyncIt's Gonna Be Me
3928,2000-08-05,4,Everything You Want,Vertical Horizon,Vertical HorizonEverything You Want
3929,2000-08-05,5,Try Again,Aaliyah,AaliyahTry Again
3930,2000-08-05,6,"Jumpin',jumpin'",Destiny's Child,"Destiny's ChildJumpin',jumpin'"
3931,2000-08-05,10,Back Here,BBmak,BBmakBack Here
3932,2000-08-05,11,I Think I'm In Love With You,Jessica Simpson,Jessica SimpsonI Think I'm In Love With You
3933,2000-08-05,12,Desert Rose,Sting,StingDesert Rose
3934,2000-08-05,14,He Wasn't Man Enough,Toni Braxton,Toni BraxtonHe Wasn't Man Enough
3935,2000-08-05,16,Kryptonite,3 Doors Down,3 Doors DownKryptonite
3936,2000-08-05,17,I Wanna Be With You,Mandy Moore,Mandy MooreI Wanna Be With You
3937,2000-08-05,18,Let's Get Married,Jagged Edge,Jagged EdgeLet's Get Married
3938,2000-08-05,19,No More,Ruff Endz,Ruff EndzNo More
3939,2000-08-05,21,Wonderful,Everclear,EverclearWonderful
3940,2000-08-05,23,I Need You,LeAnn Rimes,LeAnn RimesI Need You
3941,2000-08-05,25,I Will Love Again,Lara Fabian,Lara FabianI Will Love Again
3942,2000-08-05,26,I Try,Macy Gray,Macy GrayI Try
3943,2000-08-05,27,The Real Slim Shady,Eminem,EminemThe Real Slim Shady
3944,2000-08-05,29,West Side Story,LFO,LFOWest Side Story
3945,2000-08-05,30,Callin' Me,Lil' Zane,Lil' ZaneCallin' Me
3946,2000-08-05,31,Oops!...I Did It Again,Britney Spears,Britney SpearsOops!...I Did It Again
3947,2000-08-05,33,One Voice,Billy Gilman,Billy GilmanOne Voice
3948,2000-08-05,34,Swear It Again,Westlife,WestlifeSwear It Again
3949,2000-08-05,35,Mirror Mirror,M2M,M2MMirror Mirror
3950,2000-08-05,37,Change Your Mind,Sister Hazel,Sister HazelChange Your Mind
3951,2000-08-05,38,Breathe,Faith Hill,Faith HillBreathe
3952,2000-08-05,39,Dance With Me,Debelah Morgan,Debelah MorganDance With Me
3953,2000-08-12,1,Absolutely (story Of A Girl),Nine Days,Nine DaysAbsolutely (story Of A Girl)
3954,2000-08-12,3,It's Gonna Be Me,NSync,NSyncIt's Gonna Be Me
3955,2000-08-12,4,Try Again,Aaliyah,AaliyahTry Again
3956,2000-08-12,5,"Jumpin',jumpin'",Destiny's Child,"Destiny's ChildJumpin',jumpin'"
3957,2000-08-12,6,Everything You Want,Vertical Horizon,Vertical HorizonEverything You Want
3958,2000-08-12,10,Back Here,BBmak,BBmakBack Here
3959,2000-08-12,13,I Think I'm In Love With You,Jessica Simpson,Jessica SimpsonI Think I'm In Love With You
3960,2000-08-12,14,He Wasn't Man Enough,Toni Braxton,Toni BraxtonHe Wasn't Man Enough
3961,2000-08-12,15,Desert Rose,Sting,StingDesert Rose
3962,2000-08-12,16,Kryptonite,3 Doors Down,3 Doors DownKryptonite
3963,2000-08-12,17,No More,Ruff Endz,Ruff EndzNo More
3964,2000-08-12,18,Wonderful,Everclear,EverclearWonderful
3965,2000-08-12,19,I Wanna Be With You,Mandy Moore,Mandy MooreI Wanna Be With You
3966,2000-08-12,20,Let's Get Married,Jagged Edge,Jagged EdgeLet's Get Married
3967,2000-08-12,22,I Need You,LeAnn Rimes,LeAnn RimesI Need You
3968,2000-08-12,24,Callin' Me,Lil' Zane,Lil' ZaneCallin' Me
3969,2000-08-12,25,West Side Story,LFO,LFOWest Side Story
3970,2000-08-12,26,One Voice,Billy Gilman,Billy GilmanOne Voice
3971,2000-08-12,28,I Will Love Again,Lara Fabian,Lara FabianI Will Love Again
3972,2000-08-12,30,Swear It Again,Westlife,WestlifeSwear It Again
3973,2000-08-12,31,Dance With Me,Debelah Morgan,Debelah MorganDance With Me
3974,2000-08-12,33,Who Let The Dogs Out,Baha Men,Baha MenWho Let The Dogs Out
3975,2000-08-12,34,Purest Of Pain (a Puro Dolor),Son By Four,Son By FourPurest Of Pain (a Puro Dolor)
3976,2000-08-12,38,Mirror Mirror,M2M,M2MMirror Mirror
3977,2000-08-12,39,Change Your Mind,Sister Hazel,Sister HazelChange Your Mind
3978,2000-08-19,2,Absolutely (story Of A Girl),Nine Days,Nine DaysAbsolutely (story Of A Girl)
3979,2000-08-19,4,It's Gonna Be Me,NSync,NSyncIt's Gonna Be Me
3980,2000-08-19,5,"Jumpin',jumpin'",Destiny's Child,"Destiny's ChildJumpin',jumpin'"
3981,2000-08-19,6,Try Again,Aaliyah,AaliyahTry Again
3982,2000-08-19,7,I Think I'm In Love With You,Jessica Simpson,Jessica SimpsonI Think I'm In Love With You
3983,2000-08-19,9,Everything You Want,Vertical Horizon,Vertical HorizonEverything You Want
3984,2000-08-19,11,Back Here,BBmak,BBmakBack Here
3985,2000-08-19,12,Desert Rose,Sting,StingDesert Rose
3986,2000-08-19,13,Kryptonite,3 Doors Down,3 Doors DownKryptonite
3987,2000-08-19,14,He Wasn't Man Enough,Toni Braxton,Toni BraxtonHe Wasn't Man Enough
3988,2000-08-19,17,No More,Ruff Endz,Ruff EndzNo More
3989,2000-08-19,18,Wonderful,Everclear,EverclearWonderful
3990,2000-08-19,23,Who Let The Dogs Out,Baha Men,Baha MenWho Let The Dogs Out
3991,2000-08-19,24,I Wanna Be With You,Mandy Moore,Mandy MooreI Wanna Be With You
3992,2000-08-19,25,Let's Get Married,Jagged Edge,Jagged EdgeLet's Get Married
3993,2000-08-19,26,I Need You,LeAnn Rimes,LeAnn RimesI Need You
3994,2000-08-19,27,Callin' Me,Lil' Zane,Lil' ZaneCallin' Me
3995,2000-08-19,29,One Voice,Billy Gilman,Billy GilmanOne Voice
3996,2000-08-19,30,West Side Story,LFO,LFOWest Side Story
3997,2000-08-19,31,Dance With Me,Debelah Morgan,Debelah MorganDance With Me
3998,2000-08-19,32,Aaron's Party (come Get It),Aaron Carter,Aaron CarterAaron's Party (come Get It)
3999,2000-08-19,34,Swear It Again,Westlife,WestlifeSwear It Again
4000,2000-08-19,36,It's My Life,Bon Jovi,Bon JoviIt's My Life
4001,2000-08-19,37,I Will Love Again,Lara Fabian,Lara FabianI Will Love Again
4002,2000-08-19,40,Baby U Are,Gerald Levert,Gerald LevertBaby U Are
4003,2000-08-26,3,"Jumpin',jumpin'",Destiny's Child,"Destiny's ChildJumpin',jumpin'"
4004,2000-08-26,4,Absolutely (story Of A Girl),Nine Days,Nine DaysAbsolutely (story Of A Girl)
4005,2000-08-26,5,It's Gonna Be Me,NSync,NSyncIt's Gonna Be Me
4006,2000-08-26,6,Kryptonite,3 Doors Down,3 Doors DownKryptonite
4007,2000-08-26,7,I Think I'm In Love With You,Jessica Simpson,Jessica SimpsonI Think I'm In Love With You
4008,2000-08-26,9,Try Again,Aaliyah,AaliyahTry Again
4009,2000-08-26,10,Back Here,BBmak,BBmakBack Here
4010,2000-08-26,11,Everything You Want,Vertical Horizon,Vertical HorizonEverything You Want
4011,2000-08-26,12,Desert Rose,Sting,StingDesert Rose
4012,2000-08-26,14,He Wasn't Man Enough,Toni Braxton,Toni BraxtonHe Wasn't Man Enough
4013,2000-08-26,18,Wonderful,Everclear,EverclearWonderful
4014,2000-08-26,20,No More,Ruff Endz,Ruff EndzNo More
